type,key_area,key_attribute,theme,capability,E1,E2,E3,E4,E5,E6
skill,Frontend Engineering,Frontend Quality,Web performance,FE-13,"Depth: Applies known performance fixes to simple cases under guidance.

Evidenced by: Reads a Lighthouse or devtools performance report and fixes the flagged issues in their task — oversized images, blocking scripts, unnecessary re-renders — with guidance on trade-offs.","Depth: Profiles and improves standard performance issues independently.

Evidenced by: Keeps the features they ship within the team's performance budget, profiling render and bundle cost before merge and lazy-loading what the critical path doesn't need.","Depth: Diagnoses and optimizes performance autonomously across rendering, loading, and runtime.

Evidenced by: Owns Core Web Vitals for a capability, diagnosing field regressions from RUM data to root cause — hydration cost, main-thread contention, layout shift — and rejecting designs that can't hit budget.","Depth: Defines performance approaches teams adopt; solves the most stubborn bottlenecks.

Evidenced by: Builds the performance budgets, CI gates, and monitoring several teams run on, and leads the cross-team efforts that move p75 metrics.","Depth: Sets frontend performance strategy and budgets; anticipates emerging performance concerns.

Evidenced by: Sets org-wide performance targets and the platform investments to hit them — rendering architecture, edge/CDN posture — tied to business metrics leadership acts on.","Depth: Defines what good frontend performance means industrywide; pioneers influential techniques.

Evidenced by: Makes the company-level performance-architecture bets and is accountable for user-experience speed as a competitive property of the product."
skill,Backend & API Engineering,Services & Runtime,Service design & boundaries,ARC-02,"Depth: Splits a service along boundaries already defined, with decomposition reviewed.

Evidenced by: Adds endpoints and handlers to an existing Node/TypeScript service following its layering, error-handling, and config conventions; explains the request path through the service in their own words.","Depth: Decomposes routine systems into services using established boundary heuristics independently.

Evidenced by: Designs and ships a well-factored module or small service independently, separating transport, domain logic, and persistence, and handling errors, timeouts, and idempotency deliberately.","Depth: Designs boundaries for complex domains, resolving overlap and ownership ambiguity autonomously.

Evidenced by: Draws service boundaries by trade-off in design docs that name the alternatives considered, designing for failure (retries, idempotency, backpressure) and catching coupling and hidden-dependency problems in others' designs before build.","Depth: Defines decomposition methods and boundary heuristics teams reuse across products.

Evidenced by: Restructures the service landscape across teams — splitting, merging, or extracting services with migration plans that ship incrementally — without stopping delivery.","Depth: Sets enterprise-wide boundary and ownership strategy, anticipating decomposition pressures.

Evidenced by: Sets the org's service architecture direction (runtime choices, communication patterns, platform primitives) and retires the patterns that no longer serve it.","Depth: Shapes how the industry reasons about service boundaries and decomposition.

Evidenced by: Makes company-level backend platform bets and is the tie-breaking authority on architecture decisions with decade-scale consequences."
skill,Backend & API Engineering,Services & Runtime,Runtime & async correctness,CS-04,"Depth: Writes concurrent code using given primitives under review.

Evidenced by: Uses async/await correctly — awaits promises, handles rejections, avoids sequential awaits where work is parallel — with review catching the misses.","Depth: Implements standard concurrent patterns independently for routine workloads.

Evidenced by: Keeps the event loop healthy in code they own, moving CPU-heavy work off the hot path, bounding concurrency, and adding timeouts and cancellation to outbound calls.","Depth: Designs correct, efficient concurrency for complex shared-state problems autonomously.

Evidenced by: Diagnoses production event-loop stalls, memory leaks, and race conditions from traces and heap snapshots, and designs backpressure and retry behavior for a capability's services.","Depth: Defines concurrency patterns and reasoning others adopt to avoid subtle defects.

Evidenced by: Sets the concurrency, timeout, and resilience defaults multiple teams inherit through shared libraries and service templates.","Depth: Sets concurrency strategy organization-wide, anticipating parallelism challenges.

Evidenced by: Drives org-wide runtime strategy — Node versions, worker models, resource limits — from fleet-level performance data.","Depth: Shapes industry understanding of concurrency and parallelism.

Evidenced by: Owns company-level runtime and platform bets and is the escalation point for the hardest production mysteries."
skill,Backend & API Engineering,API Contracts,API contract design,SWE-07,"Depth: Understands HTTP/REST and the deploy pipeline; makes guided changes.

Evidenced by: Implements endpoints against a specified contract, returning correct status codes and error shapes, and updates the OpenAPI or schema definition alongside the code.","Depth: Designs clean APIs; understands rate limits, retries, timeouts, idempotency.

Evidenced by: Designs consistent, versionable endpoints for their feature — naming, pagination, error envelopes — and shares typed clients or generated types so frontend and backend agree by construction.","Depth: Designs services for scale and cost; understands distributed failure modes.

Evidenced by: Owns the API contract for a capability, writing the schema first, folding consumers' integration pain back into the design, and rejecting designs in review that leak internals or paint consumers into corners.","Depth: Expert in platform/service design (multi-tenancy, capacity, shared services).

Evidenced by: Sets the API conventions multiple teams follow (style guide, error taxonomy, schema registry, review gates) and arbitrates contract disputes between producing and consuming teams.","Depth: Sets interface standards used across the org.

Evidenced by: Owns the org's API strategy — REST/GraphQL/RPC posture, gateway, contract-testing infrastructure — and its governance mechanisms.","Depth: Defines company-wide API approach; trusted with irreversible interface bets.

Evidenced by: Shapes the company's external API as a product, making the compatibility promises the business sells against."
skill,Backend & API Engineering,API Contracts,Compatibility & versioning,BE-13,"Depth: Implements endpoints against existing contracts under review.

Evidenced by: Asks before changing a response shape or shared type, and explains why deployed clients constrain the server.","Depth: Designs standard API contracts independently with consistent conventions.

Evidenced by: Ships additive, backward-compatible changes by default, coordinating deploy order between client and server and gating risky changes behind flags.","Depth: Designs API contracts and versioning autonomously; manages compatibility and evolution.

Evidenced by: Designs the deprecation and migration paths for a capability's contracts — versioning scheme, sunset timelines, consumer comms — and catches silent breaking changes in review.","Depth: Defines API-design approaches teams adopt; solves hard versioning and compatibility problems.

Evidenced by: Runs breaking-change processes across teams, with contract tests and migration tooling that make deprecations routine rather than heroic.","Depth: Sets API contract and versioning strategy across the organization; anticipates evolving needs.

Evidenced by: Sets the org's compatibility policy and the tooling that enforces it automatically.","Depth: Defines authoritative practice for API design; shapes industry standards and conventions.

Evidenced by: Owns compatibility strategy for company-critical and external surfaces, where mistakes are front-page incidents."
skill,Backend & API Engineering,Data & Persistence,Data modeling,BE-01,"Depth: Writes simple queries and follows existing schemas under review.

Evidenced by: Writes correct queries and simple schema changes against an existing model, explaining the main entities and their relationships in their own words.","Depth: Models standard entities and writes correct queries independently with normal review.

Evidenced by: Designs sound schemas for their features — keys, constraints, indexes, normalization judged by access pattern — encoding invariants in the database rather than in application hope, with reversible migrations.","Depth: Designs normalized schemas autonomously; writes complex queries and resolves modeling trade-offs.

Evidenced by: Models a capability's domain so that invalid states are hard to represent, choosing consistency and transaction boundaries deliberately, designing for schema evolution, and catching modeling errors in others' designs before they calcify.","Depth: Defines data-modeling approaches teams adopt; solves the hardest schema and query problems.

Evidenced by: Untangles data models entangled across teams — ownership of shared entities, duplication vs. reference, event contracts — and lands the migrations.","Depth: Sets relational modeling strategy across systems; anticipates evolving data and access needs.

Evidenced by: Sets the org's data architecture (store selection, consistency posture, canonical sources of truth) and kills duplicate sources of truth.","Depth: Defines best practice for relational modeling industrywide; shapes widely adopted approaches.

Evidenced by: Owns company-level data strategy bets — the storage and consistency platform products build on for years, including regulatory and multi-region posture."
skill,Backend & API Engineering,Data & Persistence,Query performance & safe migrations,BE-04,"Depth: Adds suggested indexes and reads query plans under guidance.

Evidenced by: Reads a query plan with help and fixes flagged N+1s, running schema changes only through the migration tooling with review.","Depth: Identifies and resolves standard slow queries independently.

Evidenced by: Reads execution plans unprompted and designs indexes for the access patterns of features they own, checking query cost against realistic data volumes and rehearsing the rollback before deploying.","Depth: Designs indexing strategies autonomously; tunes complex queries and execution plans.

Evidenced by: Diagnoses production database performance to root cause — plans, locks, connection pools — and designs zero-downtime migrations (expand/contract, backfill strategy, dual-write windows), reviewing others' migrations for lock and rollback risk.","Depth: Defines query-optimization approaches teams adopt; solves the most stubborn performance problems.

Evidenced by: Leads the multi-team data moves — resharding, datastore swaps, hot-table decomposition — with staged rollout plans others execute against, and builds the guardrails preventing recurrence.","Depth: Sets indexing and optimization strategy across systems; anticipates evolving workload patterns.

Evidenced by: Owns org-level capacity and scaling strategy for persistence, deciding when to shard, replicate, or re-platform, with cost explicitly in the trade-off.","Depth: Shapes industry practice for query optimization; pioneers widely referenced techniques.

Evidenced by: Makes the company's long-horizon storage bets and is the final technical voice on the migrations where failure is existential."
skill,Backend & API Engineering,Integration & Resilience,Asynchronous processing & messaging,BE-09,"Depth: Produces and consumes messages for simple flows under review.

Evidenced by: Adds jobs or event handlers to an existing queue and worker setup following team patterns; explains at-least-once delivery and why handlers must tolerate retries.","Depth: Implements standard event-driven flows independently with normal review.

Evidenced by: Builds idempotent async workflows with dead-letter handling and visibility into failures; chooses sync-versus-async deliberately for their feature.","Depth: Designs event-driven architectures autonomously; resolves ordering, delivery, and coupling concerns.

Evidenced by: Designs the event and job architecture for a capability, reasoning explicitly about ordering, exactly-once illusions, and poison messages, and catches these gaps in others' designs.","Depth: Defines event-driven approaches teams adopt; solves the hardest decoupling and flow problems.

Evidenced by: Standardizes messaging patterns across teams, owning shared schemas and topics and the contract between producers and consumers.","Depth: Sets event-driven architecture strategy across systems; anticipates evolving messaging models.

Evidenced by: Sets the org's async and eventing strategy, including platform selection and the delivery-guarantee posture teams inherit.","Depth: Defines authoritative practice for event-driven architecture; shapes industry understanding.

Evidenced by: Directs company-scale event architecture, making the platform bets that determine how the company's systems compose."
skill,Backend & API Engineering,Integration & Resilience,Third-party & cross-service resilience,BE-18,"Depth: Applies provided resilience patterns to simple services under review.

Evidenced by: Sets timeouts and handles error paths in their changes as the team's patterns prescribe, and explains what happens to their code when a dependency is down.","Depth: Implements standard fault-tolerance and isolation measures independently.

Evidenced by: Wraps every external dependency with timeouts, retries with backoff, and failure fallbacks — graceful degradation in the UI when the API stutters — and writes the runbook entry for when the dependency degrades.","Depth: Designs resilient systems autonomously; resolves cascading-failure and degradation concerns.

Evidenced by: Designs the resilience posture for a capability — circuit breakers, bulkheads, dependency criticality tiers, load-testing before launches and sizing for projected growth — and rejects designs in review that fail closed on non-critical dependencies.","Depth: Defines fault-tolerance approaches teams adopt; solves the hardest isolation and recovery problems.

Evidenced by: Hardens the seams between teams' systems — shared dependencies, cascading-failure paths — running failure-injection and game-day exercises and fixing the systemic weak points they expose.","Depth: Sets resilience strategy across systems; anticipates emerging failure modes and risks.

Evidenced by: Sets org resilience standards and capacity strategy, including vendor criticality tiers, exit strategies, and disaster-recovery posture.","Depth: Defines best practice for fault tolerance industrywide; shapes widely adopted approaches.

Evidenced by: Accountable for company-level systemic resilience, shaping architecture and vendor strategy so no single dependency can take the business down."
skill,TypeScript & Software Design,Type System as a Design Tool,Type-driven domain modeling,SWE-08,"Depth: Writes correctly typed code without escape hatches (`any`-equivalents), uses the codebase's existing types and generics correctly, and reads compiler errors to the actual cause with guidance.

Evidenced by: Gets a compiler error on a discriminated-union narrowing case they haven't seen before, reads the message past the top line to find the actual mismatched member, and fixes the type rather than reaching for `as`.","Depth: Models feature domains so invalid states fail to compile — sum types / discriminated unions over boolean flags, narrowing over assertions — preferring type-level constraints where the compiler can carry the load.

Evidenced by: Turns a boolean-flag-soup form state (`isLoading`/`isError`/`hasData` that can all be true at once) into a discriminated union so the impossible combinations don't compile, without being told to.","Depth: Designs the shared domain types a capability is built on, keeping inference ergonomic for consumers; judges when type-level sophistication pays and when it obscures, and unwinds accumulated type erosion in others' code.

Evidenced by: Reviews a teammate's PR that adds a fourth optional field to an already-sprawling props type, and instead proposes (and lands) the discriminated-union refactor that makes the three valid variants explicit and the invalid ones uncompilable.","Depth: Sets type-design conventions multiple teams adopt — strictness policy, shared type libraries, branded identifiers, result types — and leads migrations that raise strictness without halting delivery.

Evidenced by: Publishes the branded-ID and Result-type conventions as the team's internal type-utilities package, with a codemod that migrated three existing services onto it without a delivery freeze.","Depth: Owns an organization's type-system posture — compiler baselines, monorepo type architecture, upgrade cadence — measured by defect and velocity outcomes.

Evidenced by: Sets the org's `strict`-mode and `noUncheckedIndexedAccess` baseline for all new repos, tracked against a quarterly defect-rate dashboard leadership reviews.","Depth: Makes company-level language and type-platform bets and represents the practice externally (talks, upstream contributions, published patterns).

Evidenced by: Is the internal reviewer of record when the company adopts a new TypeScript major version, and publishes the migration's lessons as a conference talk that other companies cite."
skill,TypeScript & Software Design,Type System as a Design Tool,Type safety at boundaries,SWE-09,"Depth: Uses the codebase's shared contract types and schema validators at boundaries rather than hand-casting external data, and can point to where a type is checked at runtime.

Evidenced by: Wraps a third-party webhook payload with the team's existing Zod schema before touching its fields, and when asked why, points to the exact line where the shape is checked at runtime.","Depth: Puts runtime validation at every I/O boundary they touch — requests, messages, configuration — deriving static types from the runtime schemas so compile-time and runtime cannot drift.

Evidenced by: Adds request validation to a new internal endpoint using the same schema that generates its TypeScript types, so a malformed body 400s before it ever reaches the handler's typed logic.","Depth: Designs end-to-end type integrity for a capability — schema-first contracts, generated clients, contract drift caught in continuous integration — and blocks unsound casts and unvalidated edges in review.

Evidenced by: Wires a capability's client and server to share one schema-derived contract type checked in CI, so that changing a field name on the server fails the client's typecheck in the same pull request instead of failing in production.","Depth: Builds the code-generation and contract-typing infrastructure multiple teams inherit, making boundary safety the default rather than a discipline, and resolves cross-team type drift at its source.

Evidenced by: Builds the internal codegen pipeline that turns each service's OpenAPI schema into a typed client automatically, adopted by four other teams who stopped hand-writing fetch wrappers.","Depth: Sets the organization's boundary-safety standard and the platform tooling that enforces it, with incident evidence showing the failure classes it removed.

Evidenced by: Ships an org-wide boundary-validation lint rule after tracing three consecutive quarters' worst production incidents back to unvalidated third-party responses, and reports the incident-rate drop to engineering leadership.","Depth: Owns contract-integrity strategy across products and external interfaces where a broken contract is a business event, and advances the state of practice publicly.

Evidenced by: Owns the contract-integrity review for the company's public partner API, where a silently-dropped field would break a paying customer's integration, and writes up the safeguards at an external engineering conference."
skill,TypeScript & Software Design,Type System as a Design Tool,Advanced types & inference,SWE-01,"Depth: Writes working, readable code in the team's language; debugs own changes.

Evidenced by: Uses generic functions and utility types (Pick, Omit, Partial) correctly in everyday code; asks for help when inference surprises them.","Depth: Proficient in the primary language/ecosystem; handles errors, async and concurrency basics correctly.

Evidenced by: Writes their own generic functions and constraints that infer cleanly at call sites, and debugs inference failures by reading the types rather than adding casts.","Depth: Code is a reference others learn from; debugs the hard problems (races, memory, nondeterminism).

Evidenced by: Builds the typed utilities and library boundaries others rely on — mapped and conditional types where they pay for themselves — and pushes back in review on cleverness that hurts readability or compile times.","Depth: Mastery across multiple stacks/paradigms; solves problems others can't; sets implementation patterns.

Evidenced by: Owns the hardest type-level infrastructure across teams (codegen, typed clients, framework glue) and teaches the patterns so they don't bottleneck on one person.","Depth: Sets implementation standards adopted across the org; anticipates where code breaks at scale.

Evidenced by: Sets the org's bar for type-level engineering, balancing expressiveness against build performance and onboarding cost.","Depth: Industry-level depth; authors foundational primitives and idioms others build on.

Evidenced by: Influences the practice beyond the company — upstream contributions, published patterns — and directs internal investment accordingly."
skill,TypeScript & Software Design,Architecture & Code Health,Software design & architecture,SWE-05,"Depth: Implements designs specified by others; asks why, not just how.

Evidenced by: Explains the system's architecture in their own words and navigates its diagrams to find where a change belongs, implementing designs specified by others.","Depth: Designs sound components; understands coupling, cohesion, interface design.

Evidenced by: Designs their features within the existing architecture with clear module boundaries and hidden internals, writing a short design note for anything non-obvious and naming at least one alternative.","Depth: Designs systems for evolution: clean seams, versioned interfaces, replaceable parts.

Evidenced by: Selects patterns by trade-off in design docs that name the alternatives considered, designs for evolution, and catches coupling and scaling problems in others' designs before build.","Depth: Mastery of architecture for complex systems; sets patterns and prevents drift.

Evidenced by: Produces the designs that resolve problems spanning multiple teams, and gets them adopted through review and persuasion rather than mandate.","Depth: Sets multi-year architecture direction across the org.

Evidenced by: Sets the architectural direction multiple teams build against and removes the systemic obstacles that block it.","Depth: Authoritative and externally credible; defines architectural approach others follow.

Evidenced by: Owns the company's technical architecture narrative — where the platform is going and why — making the irreversible calls and being publicly accountable for them."
skill,TypeScript & Software Design,Architecture & Code Health,"Readable, maintainable code",SWE-02,"Depth: Writes functional, readable code; uses version control correctly; responds well to review.

Evidenced by: Writes small, clearly named functions that match the codebase's conventions, and incorporates review feedback without repeating the same class of issue.","Depth: Writes clean, documented, modular code; gives useful review feedback.

Evidenced by: Leaves code simpler than found as a matter of course — refactors as part of feature work, keeps modules cohesive, writes comments that explain why, not what; review comments on their PRs trend toward design, not cleanup.","Depth: Designs for maintainability; leads refactors of problem areas; review feedback teaches.

Evidenced by: Sets the maintainability bar for a capability through review — names the smell and the refactoring, suggests the simplification rather than the workaround, and articulates why a design is too complicated, not just that it is.","Depth: Expert in code health at scale (shared libraries, deprecations, large migrations).

Evidenced by: Drives code-health initiatives across teams — dead-code deletion, module restructuring, convention alignment — with before/after evidence.","Depth: Shapes org-wide engineering standards for long-lived codebases.

Evidenced by: Owns org-level code-health strategy, making maintainability a funded, tracked property rather than a virtue, legible to leadership as risk and velocity.","Depth: Defines what good engineering looks like company-wide; externally recognized.

Evidenced by: Sets company engineering-quality standards and models them in the code they still write."
skill,TypeScript & Software Design,Architecture & Code Health,Refactoring & technical debt,EM-15,"Depth: Records known shortcuts and defects when directed; raises debt concerns in planning.

Evidenced by: Adds a `// TODO(debt): hardcoded 30-day window, revisit before Q3 launch` comment on a shortcut they took, and brings it up unprompted when their tech lead asks what got cut in the sprint.","Depth: Keeps a visible debt register with the cost of carry noted and defends a steady paydown allocation in planning rather than begging quarter by quarter.

Evidenced by: Keeps a running doc of the debt their component has taken on this quarter — what, why, and the exit condition — and defends a fixed 15% paydown slice in planning instead of re-arguing for it every sprint.","Depth: Distinguishes debt worth carrying from debt that will detonate, sequences remediation by risk, and prices debt in incident and velocity terms stakeholders accept.

Evidenced by: Tells the roadmap owner that the auth-service's dual-write shim is debt that will detonate at their next 2x traffic milestone, not debt that can sit, and gets a two-sprint remediation slotted in with the incident-cost math that made the case.","Depth: Makes debt legible across multiple teams — shared taxonomy, reporting rhythm — and gets cross-team risk (the shared library nobody owns, the half-finished migration) owned and funded.

Evidenced by: Builds the shared debt taxonomy (security/perf/velocity/correctness) three teams now tag their tickets with, and gets the shared auth library nobody owned assigned a team and a paydown budget.","Depth: Carries technical risk onto the executive risk register — top exposures known, sized, owned, trending — and lands multi-quarter remediation programs against feature pressure.

Evidenced by: Presents the org's top five debt exposures — sized in incident-dollars and velocity-days — on the quarterly executive risk register, and gets two multi-quarter remediation programs funded against competing feature asks.","Depth: Sets an organization's speed-versus-soundness posture explicitly — where debt is accepted for velocity and where it never is — and holds it under growth pressure.

Evidenced by: Sets the explicit rule that new-market launches may carry data-model debt for one quarter but never carry auth debt past code review, and holds that line when a VP pushes to ship a launch with an auth shortcut."
skill,TypeScript & Software Design,Architecture & Code Health,Code review practice,SWE-04,"Depth: Navigates the codebase and understands code shown; reviews small changes.

Evidenced by: Responds to review feedback promptly and without defensiveness, applies it beyond the flagged line, and reviews small changes for readability and test presence.","Depth: Independently understands unfamiliar code; gives timely, specific review feedback.

Evidenced by: Gives reviews that catch real defects, not just style — edge cases, type holes, missing tests — distinguishing blocking issues from preferences and phrasing comments about the code, not the coder.","Depth: Quickly grasps complex/legacy systems; reviews raise the bar across a domain.

Evidenced by: Reviews for design, failure modes, and long-term cost — and teaches through review comments others save and share. Turns recurring review comments into lint rules or docs, and calibrates comment severity so authors know what blocks.","Depth: Expert at reviewing high-risk changes; review standards spread across teams.

Evidenced by: Calibrates review standards across teams so the bar is consistent, reviewing the cross-cutting changes nobody else can judge and coaching senior engineers on how they review.","Depth: Authority on review practice org-wide.

Evidenced by: Designs the org's review system itself — ownership rules, required checks, review SLAs, automation — measured by defect escape and flow metrics.","Depth: Defines what good review looks like; shapes industry-facing practice.

Evidenced by: Sets the company's engineering-rigor expectations, personally reviewing the changes with company-level blast radius."
skill,Quality & Testing,Testing Across the Stack,Test strategy & the pyramid,QA-01,"Depth: Drafts test plans from templates for defined features, reviewed before execution.

Evidenced by: Writes unit tests for every change following the team's patterns, and explains what each layer of the pyramid is for in their own words.","Depth: Produces complete test strategies for standard projects independently, scoping coverage and risk.

Evidenced by: Chooses the right test layer per risk — unit for logic, integration for seams, few end-to-end — covering the frontend, API, and data layers rather than just the easiest one.","Depth: Devises test strategies for ambiguous, high-risk programs balancing coverage, time, and cost.

Evidenced by: Owns the test strategy for a capability and kills tests that cost more than they catch, rebalancing an inverted pyramid, deciding coverage targets by risk, and defining which user journeys warrant end-to-end coverage — with the data to justify it.","Depth: Defines the test-strategy approach and planning patterns other teams adopt.

Evidenced by: Aligns test strategy across teams that share seams — contract tests where E2E suites were the crutch, shared fixtures, flake budgets — so cross-team changes are safe to make.","Depth: Sets organizational quality strategy and anticipates how testing must evolve with delivery.

Evidenced by: Sets the organization's testing standards and investment level, backed by data on escape rates and suite cost.","Depth: Defines what effective test strategy means for the discipline and influences its practice.

Evidenced by: Owns the company's release-confidence posture, deciding the quality bar that ships and answering for it when it fails."
