type,key_area,key_attribute,theme,capability,M1,M2,M3,M4,M5,M6
skill,Execution & Operations,Delivery & Reliability,Incident & Reliability Leadership,EM-10,"Depth: Manages standard incidents and routine operational risk with normal review. Evidenced by: Runs blameless postmortems that produce completed actions, not filed documents, and keeps on-call humane. Scope: one team.","Depth: Independently leads severe incidents and drives durable remediation of risk. Evidenced by: Commands sev-1 incidents on a critical system calmly, with clear roles and a decision log, and pushes reliability work onto the roadmap with error-budget evidence. Scope: a complex / critical team.","Depth: Defines incident and risk practices others adopt and commands the worst crises calmly. Evidenced by: Raises the postmortem and readiness bar across a domain, so SLOs and error budgets are adopted by teams they do not run. Scope: a domain (cross-team).","Depth: Defines incident and risk practices others adopt and commands the worst crises calmly. Evidenced by: Builds a sub-org's reliability operating model -- SLO governance, severity taxonomy, an incident-commander bench -- and rehearses it. Scope: a sub-org.","Depth: Sets the org's operational-risk strategy and anticipates systemic failure modes. Evidenced by: Represents operational risk at the executive table in customer and revenue terms, setting risk tolerance with the business. Scope: a function.","Depth: Defines what excellent operational risk management means and shapes external practice. Evidenced by: Represents the org's operational integrity to customers, regulators, and the board during the worst incidents. Scope: org-wide."
skill,Execution & Operations,Delivery & Reliability,Risk Management & Governance,RISK-01,"Depth: Conducts standard risk assessments and updates registers independently with normal review. Evidenced by: Keeps a team risk register with named owners and trigger conditions, and escalates when a trigger fires rather than hoping. Scope: one team.","Depth: Assesses complex, interconnected enterprise risks and sets local methodology autonomously. Evidenced by: Leads a critical system through a real risk event -- an audit or a failed dependency -- and hardens the system and process afterward. Scope: a complex / critical team.","Depth: Designs the enterprise risk framework and appetite model others adopt; solves the hardest risk problems. Evidenced by: Normalizes risk practice across a domain -- shared register format, review cadence, paved-road controls teams adopt because they are easier. Scope: a domain (cross-team).","Depth: Designs the enterprise risk framework and appetite model others adopt; solves the hardest risk problems. Evidenced by: Builds a sub-org's risk governance -- risk-appetite statements, exception processes with expiry dates -- and funds the mitigations. Scope: a sub-org.",Depth: Sets enterprise risk strategy and appetite at board level; anticipates emerging systemic risks. Evidenced by: Trades risk against delivery at function scale with explicit executive sign-off on accepted risks -- no silent acceptance. Scope: a function.,"Depth: Defines enterprise-risk practice recognized industry-wide; externally cited authority. Evidenced by: Sets the org's risk appetite and answers for its posture to the board, regulators, and customers. Scope: org-wide."
skill,Execution & Operations,Operational Excellence,Engineering Metrics & Delivery Health,EM-09,"Depth: Interprets productivity metrics for one team with normal review. Evidenced by: Reads the team's core health signals on a cadence and acts on one bottleneck at a time, distinguishing the metric moving from the system improving. Scope: one team.","Depth: Independently designs metric systems and distinguishes real signal from vanity numbers. Evidenced by: Diagnoses a complex team's delivery drag to root cause and shows the improvement in the numbers, not just the narrative. Scope: a complex / critical team.",Depth: Defines the productivity-measurement model others adopt and debunks misleading metrics. Evidenced by: Standardizes delivery measurement across a domain so teams are comparable without being gamed. Scope: a domain (cross-team).,Depth: Defines the productivity-measurement model others adopt and debunks misleading metrics. Evidenced by: Sets delivery-health standards and instrumentation for a sub-org and funds the platform work that moves them. Scope: a sub-org.,"Depth: Sets the org's engineering-metrics strategy and anticipates which signals will matter. Evidenced by: Frames engineering productivity for the executive suite in business terms, resisting vanity metrics. Scope: a function.","Depth: Defines rigorous engineering productivity measurement and influences the field externally. Evidenced by: Makes delivery capability a board-legible asset, benchmarking the org externally and retiring measures that stop informing decisions. Scope: org-wide."
skill,Execution & Operations,Operational Excellence,Process & Continuous Improvement,EM-08,"Depth: Runs and tunes a team's operating cadence with normal review. Evidenced by: Runs retrospectives that produce changes which stick, so the same complaint does not appear three retros running. Scope: one team.","Depth: Independently designs processes that fit the work and removes friction others miss. Evidenced by: Builds robust process for a critical team, reducing variation in quality and delivery while right-sizing governance. Scope: a complex / critical team.",Depth: Defines operating-cadence patterns others adopt and fixes broken processes across teams. Evidenced by: Sets consistent process and quality controls across a domain and moves an improvement from one team to another with credit given. Scope: a domain (cross-team).,"Depth: Defines operating-cadence patterns others adopt and fixes broken processes across teams. Evidenced by: Builds the operations-review rhythm a sub-org trusts, so leaders bring their own bad news to it. Scope: a sub-org.","Depth: Sets the org's operating model and anticipates where cadence must evolve. Evidenced by: Sets the function's continuous-improvement strategy and operating-efficiency bar, justified with trend data that survives finance scrutiny. Scope: a function.","Depth: Defines effective engineering operating cadence for the discipline and is recognized for it. Evidenced by: Shapes an improvement culture org-wide -- process standards and learning loops that persist because they are cultural, not mandated. Scope: org-wide."
skill,Execution & Operations,Operational Excellence,Developer Experience & Flow,OPS-27,Depth: Independently builds and supports standard platform capabilities and templates for routine developer needs with review. Evidenced by: Removes the team's top friction and measures cycle time before and after. Scope: one team.,"Depth: Designs self-service workflows for ambiguous needs, reducing friction and resolving hard abstraction and adoption issues. Evidenced by: Instruments developer experience on a critical team with surveys plus system metrics and fixes the top pain point each quarter. Scope: a complex / critical team.","Depth: Defines platform architecture and golden paths others adopt, solving deep developer-experience and leverage problems. Evidenced by: Prioritizes platform and tooling investment across teams by measured friction, resisting single-metric productivity theater on the record. Scope: a domain (cross-team).","Depth: Defines platform architecture and golden paths others adopt, solving deep developer-experience and leverage problems. Evidenced by: Builds a developer-experience feedback loop a sub-org acts on quarterly, so findings become funded, visible work. Scope: a sub-org.","Depth: Sets organization-wide platform strategy, anticipating how developer-experience engineering should evolve. Evidenced by: Makes the function-wide productivity investment case at the executive table with multidimensional evidence, and reports back honestly on what worked. Scope: a function.","Depth: Defines what excellent platform engineering means for the field, shaping industry developer-experience practice. Evidenced by: Keeps engineering effectiveness a standing strategic priority rather than a slogan; the org budgets for it in bad years too. Scope: org-wide."
skill,Execution & Operations,Resource Stewardship,Capacity & Headcount Planning,EM-05,Depth: Builds a credible headcount plan for one team with normal review. Evidenced by: Plans the team's quarter against realistic capacity and shows the math when asked to take more. Scope: one team.,Depth: Independently plans resourcing under uncertainty and defends staffing trade-offs. Evidenced by: Forecasts capacity across attrition and ramp scenarios so the team never lurches between starving and drowning. Scope: a complex / critical team.,"Depth: Defines resource-planning practices others adopt and resolves cross-team allocation conflicts. Evidenced by: Models capacity across several teams and proposes moving work or people to where the constraint actually is, trade-offs written down. Scope: a domain (cross-team).","Depth: Defines resource-planning practices others adopt and resolves cross-team allocation conflicts. Evidenced by: Builds the headcount plan a sub-org's budget is built on, taking cuts strategically rather than spreading them evenly. Scope: a sub-org.","Depth: Sets org-wide resourcing strategy and anticipates future capacity demand. Evidenced by: Sets the function's location, seniority-mix, and build/contract workforce shape, tying growth to unit economics executives accept. Scope: a function.","Depth: Defines headcount-planning best practice for the discipline and is recognized for it. Evidenced by: Shapes org-wide workforce strategy across cycles -- growing, freezing, or reducing -- with the org's long-run capability protected. Scope: org-wide."
skill,Execution & Operations,Resource Stewardship,Budget & Vendor Stewardship,EM-06,"Depth: Manages a team budget and standard vendor relationships with normal review. Evidenced by: Tracks the team's spend and catches anomalies before finance does, making cost visible on the team's own dashboards. Scope: one team.","Depth: Independently controls budgets under pressure and negotiates difficult vendor terms. Evidenced by: Owns a budget with real variance, forecasting it and finding savings that do not damage the roadmap. Scope: a complex / critical team.","Depth: Defines budget and vendor practices others adopt and rescues failing vendor relationships. Evidenced by: Finds structural savings across teams -- duplicate tooling, idle capacity, overlapping contracts -- and lands the consolidation. Scope: a domain (cross-team).","Depth: Defines budget and vendor practices others adopt and rescues failing vendor relationships. Evidenced by: Runs a full budget cycle for a sub-org, connecting each line to a strategic bet and reallocating mid-year with a rationale that travels. Scope: a sub-org.","Depth: Sets org-wide budget and vendor strategy and anticipates cost and supplier risks. Evidenced by: Stewards a function's cost structure -- unit economics, vendor strategy, location mix -- and defends it at the executive and finance table. Scope: a function.",Depth: Defines exemplary budget and vendor management for the field and influences practice. Evidenced by: Aligns the org's investment envelope with company strategy and makes its largest financial commitments. Scope: org-wide.
skill,People & Talent,Hiring & Team Formation,Hiring & Selection,LI-02,"Depth: Shapes hiring for a team; designs loops; makes sound staffing calls. Evidenced by: Runs a structured hiring loop with defined signals per interview and evidence-based debriefs, and closes candidates personally. Scope: one team.",Depth: Shapes hiring for a team; designs loops; makes sound staffing calls. Evidenced by: Designs the loop itself for senior and hard-to-fill roles and defends bar decisions with evidence over gut feel. Scope: a complex / critical team.,"Depth: Drives hiring strategy across teams; builds the interviewing bar. Evidenced by: Sets the hiring bar across a domain -- rubric library, debrief standards, a bar-raiser bench -- so teams they do not run make comparable decisions. Scope: a domain (cross-team).","Depth: Drives hiring strategy across teams; builds the interviewing bar. Evidenced by: Builds the hiring machinery a sub-org hires through -- interviewer training, bar-raiser pools, leveling guides, sourcing strategy. Scope: a sub-org.",Depth: Sets the org's talent strategy. Evidenced by: Sets the function's talent-acquisition strategy -- where to compete for people and on what basis -- holding the bar under growth pressure. Scope: a function.,"Depth: Shapes company-wide talent philosophy. Evidenced by: Makes the org a destination for the people it most needs, and personally recruits the leadership that changes its capability. Scope: org-wide."
skill,People & Talent,Hiring & Team Formation,Onboarding & Team Formation,EM-13,Depth: Runs a 30/60/90 onboarding with named buddies and early wins; new hires ship in their first weeks and say so in check-ins. Scope: one team.,"Depth: Reads a team's formation stage and intervenes on it — resets norms after a merge, names storming in the room instead of managing it by email. Scope: a complex / critical team.","Depth: Builds the onboarding and team-launch playbook multiple teams use; teams start faster because of materials and rituals they created, and stands up whole new teams repeatedly. Evidenced by: Cuts a domain's median time-to-first-contribution with a ramp template teams outside their own org start copying unprompted. Scope: a domain (cross-team).","Depth: Builds the onboarding and team-launch playbook multiple teams use; teams start faster because of materials and rituals they created, and stands up whole new teams repeatedly. Evidenced by: Stands up whole new teams -- mission, first hires, norms, interfaces -- repeatedly, and coaches leaders through their first team formations. Scope: a sub-org.","Depth: Designs how an organization absorbs step-change growth — acquisitions, new sites, doubled headcount — without culture dilution; integration plans carry named cultural mechanisms. Evidenced by: Runs an acquired team through its first 90 days without losing a person to the culture clash that sank the last integration. Scope: a function.",Depth: Makes team formation an organization-wide capability — new groups spin up predictably without heroics — and audits that the machinery still works. Evidenced by: Audits the org's team-formation machinery on a cadence and finds -- and fixes -- the playbook step that quietly stopped working two reorgs ago. Scope: org-wide.
skill,People & Talent,Coaching & Development,Coaching & Development,LI-01,"Depth: Coaches engineers with growth-oriented feedback; measurably improves a team's skill. Evidenced by: Holds one-on-ones that are coaching conversations, not status reads -- each person has a live growth plan they co-wrote. Scope: one team.","Depth: Coaches engineers with growth-oriented feedback; measurably improves a team's skill. Evidenced by: Coaches senior engineers and first-time leads through ambiguity they cannot solve for them, and is sought out as a coach beyond the team. Scope: a complex / critical team.","Depth: Develops future leads across teams; shapes hiring and onboarding. Evidenced by: Coaches other people-leads on their coaching, sitting in on their reviews on request; leaders demonstrably improve after working with them. Scope: a domain (cross-team).","Depth: Develops future leads across teams; shapes hiring and onboarding. Evidenced by: Builds coaching capability at scale -- manager forums, calibration on what good coaching looks like -- that a sub-org adopts and keeps running. Scope: a sub-org.","Depth: Develops senior engineers and leaders; builds culture deliberately. Evidenced by: Develops senior leaders across a function, including peers who seek their counsel, and sponsors development systems rather than only coaching personally. Scope: a function.",Depth: Develops the next generation of top talent; legacy outlasts tenure. Evidenced by: Sets the org-wide philosophy and systems for talent growth; the org's leaders visibly coach because the top does. Scope: org-wide.
skill,People & Talent,Coaching & Development,Listening & Feedback,CC-04,"Depth: Gives growth-oriented feedback that changes behavior; coaches through feedback. Evidenced by: Gives specific, behavior-anchored feedback within days, and listens to understand by soliciting dissent in one-on-ones. Scope: one team.",Depth: Gives growth-oriented feedback that changes behavior; coaches through feedback. Evidenced by: Creates feedback-rich norms on a complex team and turns hard feedback into changed behavior within weeks. Scope: a complex / critical team.,"Depth: Builds feedback norms that raise the bar across teams. Evidenced by: Builds a candor culture across a domain, setting feedback norms teams they do not run follow. Scope: a domain (cross-team).",Depth: Builds feedback norms that raise the bar across teams. Evidenced by: Institutionalizes feedback norms across a sub-org through training and calibration mechanisms that outlast their attention. Scope: a sub-org.,"Depth: Sets the org's culture of candor and growth. Evidenced by: Coaches at the executive seam -- peers and senior leaders take their feedback on leadership behavior, delivered candidly and in private. Scope: a function.","Depth: Models and defines feedback culture company-wide. Evidenced by: Models candor at the top -- publicly requests, receives, and acts on hard feedback -- and the org's norms of directness trace to it. Scope: org-wide."
skill,People & Talent,Performance & Advancement,Performance Management,EM-01,"Depth: Independently manages underperformance and difficult cases through to clear resolution. Evidenced by: Addresses an underperforming report directly with a documented, humane plan rather than letting it drift. Scope: one team.","Depth: Independently manages underperformance and difficult cases through to clear resolution. Evidenced by: Handles the hard cases -- brilliant-but-corrosive, long-tenured-but-plateaued -- with documented processes that end in change or exit inside a quarter or two. Scope: a complex / critical team.","Depth: Defines accountability practices other managers adopt and coaches them through hard cases. Evidenced by: Runs calibration across teams so the same work earns the same rating regardless of manager, contesting both inflation and harshness. Scope: a domain (cross-team).","Depth: Defines accountability practices other managers adopt and coaches them through hard cases. Evidenced by: Designs a sub-org's performance system and audits its outcomes for drift and bias, so hard calls happen earlier. Scope: a sub-org.","Depth: Sets the org's performance philosophy and anticipates systemic accountability gaps. Evidenced by: Holds senior leaders to the same standard as everyone else, visibly acting on underperformance at high levels. Scope: a function.","Depth: Defines what fair, effective performance management means and influences the field externally. Evidenced by: Sets the org's performance philosophy -- what is rewarded, tolerated, and exited -- applying it to the most senior people first. Scope: org-wide."
skill,People & Talent,Performance & Advancement,Career Development & Sponsorship,EM-02,"Depth: Coaches direct reports on standard career growth with normal review. Evidenced by: Knows each person's aspirations, creates stretch scope, and gives honest promotion guidance. Scope: one team.","Depth: Independently sponsors people into stretch roles and navigates complex growth paths. Evidenced by: Sponsors people into senior and lead roles, writing compelling cases and spending real capital advocating beyond the team. Scope: a complex / critical team.","Depth: Defines career-development practices others adopt and unblocks the toughest growth cases. Evidenced by: Owns fair, consistent advancement across a domain, sponsoring senior ICs and emerging leaders into scope they would not get alone. Scope: a domain (cross-team).","Depth: Defines career-development practices others adopt and unblocks the toughest growth cases. Evidenced by: Builds career-path and recognition systems a sub-org adopts, so growth does not require leaving, and audits promotion rates by cohort. Scope: a sub-org.","Depth: Sets the org's talent-development strategy and anticipates future capability needs. Evidenced by: Shapes the function's leveling and advancement architecture, sponsoring high-potential leaders into visibility before vacancies force it. Scope: a function.",Depth: Defines exemplary career sponsorship for the discipline and is externally recognized for it. Evidenced by: Shapes advancement systems org-wide; the org's promotion decisions still mean something years later. Scope: org-wide.
skill,People & Talent,Performance & Advancement,Succession & Leadership Pipeline,HR-09,"Depth: Runs standard talent-review and succession cycles independently for defined populations. Evidenced by: Names their own successor risk and grows a deputy -- delegating real ownership as development, not offloading. Scope: one team.","Depth: Designs succession approaches for critical, ambiguous roles and resolves contested talent calls. Evidenced by: Builds bench depth on purpose -- tech-lead rotations, stretch scopes with safety nets -- so the team survives its strongest engineer's departure. Scope: a complex / critical team.",Depth: Defines talent-management and succession frameworks that other practitioners adopt. Evidenced by: Maintains a live succession slate for every key seat in a domain and exports leaders to other parts of the org rather than hoarding them. Scope: a domain (cross-team).,"Depth: Defines talent-management and succession frameworks that other practitioners adopt. Evidenced by: Runs talent reviews that end in moves, not just ratings, and builds acting-role development mechanisms a sub-org adopts. Scope: a sub-org.","Depth: Sets enterprise succession strategy and anticipates future leadership and capability gaps. Evidenced by: Ensures every critical role in the function has a named, developing successor, reviewed with executives before vacancies force it. Scope: a function.","Depth: Defines leading practice for talent management and succession across the profession. Evidenced by: Builds the pipeline the org promotes from, including the bench for the top jobs and their own. Scope: org-wide."
skill,People & Talent,Team Health & Culture,Psychological Safety,EM-03,"Depth: Sustains safety through pressure (incidents, deadlines, change); repairs damaged trust; the team measurably speaks up (postmortems name real causes). Evidenced by: Responds to bad news by thanking the messenger and models fallibility, saying 'I was wrong' in front of the team under real pressure. Scope: one team.","Depth: Sustains safety through pressure (incidents, deadlines, change); repairs damaged trust; the team measurably speaks up (postmortems name real causes). Evidenced by: Rebuilds safety where it is damaged post-incident or post-conflict; dissenters are visibly protected from consequences. Scope: a complex / critical team.","Depth: Diagnoses and fixes systemic safety failures across teams; other leaders seek their help on entrenched conflict and burnout patterns. Evidenced by: Reads safety across teams from signals -- who speaks in reviews, what surfaces in retros versus hallways -- and coaches the leads whose teams have gone quiet. Scope: a domain (cross-team).","Depth: Diagnoses and fixes systemic safety failures across teams; other leaders seek their help on entrenched conflict and burnout patterns. Evidenced by: Builds channels through which bad news travels up fast -- skip-levels, anonymous paths, incident amnesty -- and proves they are safe. Scope: a sub-org.","Depth: Sets the org's team-health bar and mechanisms; safety practices they designed are adopted org-wide. Evidenced by: Makes dissent safe in executive rooms, inviting challenge to their own proposals and rewarding the challengers. Scope: a function.","Depth: Shapes how the industry thinks about team health; published practices others implement. Evidenced by: Makes it safe to tell the org's most powerful people they are wrong, including themselves, publicly. Scope: org-wide."
