key,type,citation,link,notes
aicpa-ssts,standard,"AICPA, Statements on Standards for Tax Services (SSTS) Nos. 1-4, revised (effective 2024)",https://www.aicpa-cima.com/resources/download/revised-statements-on-standards-for-tax-services-no-1-4-1-1-2024,"Enforceable professional standards governing tax positions, planning judgment, and client representation"
akenine-moller2018,theory,"Akenine-Moller, Haines & Hoffman, Real-Time Rendering, 4th Edition (CRC Press, 2018)",https://www.routledge.com/Real-Time-Rendering-Fourth-Edition/Akenine-Moller-Haines-Hoffman/p/book/9781138627000,Standard graphics-pipeline reference; realtimerendering.com companion site returns 403 to bots but title/publisher confirmed via web search
akidau2015,empirical,"Akidau et al., The Dataflow Model: A Practical Approach to Balancing Correctness, Latency, and Cost in Massive-Scale, Unbounded, Out-of-Order Data Processing (VLDB, 2015)",https://www.vldb.org/pvldb/vol8/p1792-Akidau.pdf,Empirical windowing/state model for stream processing; origin of Apache Beam's model
allspaw2012,theory,"Allspaw, Blameless PostMortems and a Just Culture, Code as Craft (Etsy Engineering Blog, 2012)",https://www.etsy.com/codeascraft/blameless-postmortems,Canonical articulation of blameless-postmortem practice grounded in Dekker's Just Culture -- link 403s to automated clients but title/author/venue confirmed by WebSearch
android-activity-lifecycle,standard,"Google, Android Developers: The Activity Lifecycle (accessed 2026-07)",https://developer.android.com/guide/components/activities/activity-lifecycle,Platform-defined lifecycle callback and state-save contract
android-background-limits,standard,"Google, Android Developers: Background Work Overview (accessed 2026-07)",https://developer.android.com/develop/background-work/background-tasks,"Platform-imposed background execution, Doze, and App Standby constraints"
android-offline-first,standard,"Google, Android Developers: Build an Offline-First App (accessed 2026-07)",https://developer.android.com/topic/architecture/data-layer/offline-first,Official reference architecture for local persistence and sync
android-play-policies,standard,"Google, Google Play Policies (accessed 2026-07)",https://developer.android.com/distribute/play-policies,Mandatory policy gate governing Play Store submission and distribution
android-sensors,standard,"Google, Android Developers: Sensors Overview (accessed 2026-07)",https://developer.android.com/guide/topics/sensors/sensors_overview,Platform sensor API and sensor-fusion guidance
android-vitals,standard,"Google, Android Vitals (accessed 2026-07)",https://developer.android.com/topic/performance/vitals,"Official performance, battery, and stability quality thresholds used to grade apps"
android-window-size,standard,"Google, Android Developers: Window Size Classes (accessed 2026-07)",https://developer.android.com/develop/ui/compose/layouts/adaptive/window-size-classes,Official breakpoint system for adaptive layout across device fragmentation
ansi-eia-748,standard,"NDIA/SAE International, EIA-748 Earned Value Management Systems (EVMS) Standard, Revision D (2019)",https://www.sae.org/standards/eia748d-earned-value-management-systems,"32-criteria standard for integrating program cost, schedule, and scope for performance measurement"
apple-app-lifecycle,standard,"Apple Inc., Managing Your App's Life Cycle (accessed 2026-07)",https://developer.apple.com/documentation/uikit/app_and_environment/managing_your_app_s_life_cycle,Platform-defined app and process lifecycle and state-restoration contract
apple-app-performance,standard,"Apple Inc., Improving Your App's Performance (accessed 2026-07)",https://developer.apple.com/documentation/xcode/improving-your-app-s-performance,Platform-sanctioned profiling and optimization methodology
apple-app-privacy,standard,"Apple Inc., App Privacy Details (Apple Developer, accessed 2026-07)",https://developer.apple.com/app-store/app-privacy-details/,Required privacy-nutrition-label disclosure standard for permission and data use
apple-appreview-guidelines,standard,"Apple Inc., App Store Review Guidelines (accessed 2026-07)",https://developer.apple.com/app-store/review/guidelines/,"Mandatory gate governing packaging, submission, and rollout of iOS releases"
apple-backgroundtasks,standard,"Apple Inc., BackgroundTasks framework documentation (accessed 2026-07)",https://developer.apple.com/documentation/backgroundtasks,Platform constraints and API contract for scheduled background execution
apple-coremotion,standard,"Apple Inc., Core Motion documentation (accessed 2026-07)",https://developer.apple.com/documentation/coremotion,Platform motion/sensor-fusion API reference
apple-hig,standard,"Apple Inc., Human Interface Guidelines (Apple Developer, accessed 2026-07)",https://developer.apple.com/design/human-interface-guidelines/,Canonical iOS/iPadOS/watchOS UI and interaction design standard
apple-hig-gestures,standard,"Apple Inc., Human Interface Guidelines: Gestures (Apple Developer, accessed 2026-07)",https://developer.apple.com/design/human-interface-guidelines/gestures,Canonical standard gesture vocabulary and conflict-avoidance guidance
apple-hig-layout,standard,"Apple Inc., Human Interface Guidelines: Layout (Apple Developer, accessed 2026-07)",https://developer.apple.com/design/human-interface-guidelines/layout,Adaptivity and layout guidance across size classes and device families
apqc-pcf-p2p,empirical,"APQC, Procure-to-Pay: Cross-Industry Report (Open Standards Benchmarking, accessed 2026-07)",https://www.apqc.org/resource-library/resource-listing/procure-pay-cross-industry-report,Cross-industry empirical benchmarking of procure-to-pay cycle time and process performance; verified via web search (APQC resource title confirmed); link 403s to automated fetch
asap-csap,standard,"Association of Strategic Alliance Professionals, Certified Strategic Alliance Professional (CSAP) Certification (accessed 2026-07)",https://www.strategic-alliances.org/csap,Advanced practitioner certification covering the full alliance lifecycle; the field's own recognition standard for elite practitioners; link 403s to automated fetch but page confirmed by web search
ascarza2018,empirical,"Ascarza et al., In Pursuit of Enhanced Customer Retention Management: Review, Key Issues, and Future Directions, Customer Needs and Solutions 5(1-2) (2018)",https://link.springer.com/article/10.1007/s40547-017-0080-0,"Academic review of churn prediction, targeting, and proactive-vs-reactive retention program design"
ascm-scor,standard,"ASCM (APICS), Supply Chain Operations Reference (SCOR) Digital Standard",https://www.ascm.org/corporate-solutions/standards-tools/scor-ds/,"Cross-industry process reference model (Plan/Source/Make-Transform/Deliver-Fulfill/Return) linking process, metrics, and practice"
asis-cpp,standard,"ASIS International, Certified Protection Professional (CPP) Body of Knowledge (accessed 2026-07)",https://www.asisonline.org/certification/certified-protection-professional-cpp/,403 on automated fetch (bot-blocked) but title/publisher confirmed via web search; seven-domain (security/business/investigations/personnel/physical/information/crisis) credential anchors physical-security leveling
atd-capability-model,standard,"Association for Talent Development, Talent Development Capability Model (2019)",https://www.td.org/capability-model,429 rate-limited on automated fetch (bot throttling) but title/content confirmed via web search across ATD's own site and multiple independent chapter mirrors; anchors L&D leveling
atzei2017-survey,empirical,"Atzei, Bartoletti & Cimoli, A Survey of Attacks on Ethereum Smart Contracts (SoK), Principles of Security and Trust (POST) 2017, LNCS 10204, 164-186",,"Verified via web search (Springer POST 2017 / ETAPS proceedings, title/authors/venue/pages confirmed); no stable non-paywalled URL returning 200 or search-confirmed 403 found, link left empty per protocol"
austin1996,theory,"Austin, Measuring and Managing Performance in Organizations (Dorset House, 1996)",https://www.abebooks.com/9780932633361/Measuring-Managing-Performance-Organizations-Austin-0932633366/plp,Analysis of measurement dysfunction/gaming; grounds designing metrics that resist gaming and reveal real signal
aws-waf,standard,"Amazon Web Services, AWS Well-Architected Framework (AWS, accessed 2026-07)",https://docs.aws.amazon.com/wellarchitected/latest/framework/welcome.html,"Six pillars (operational excellence, security, reliability, performance efficiency, cost optimization, sustainability) for cloud architecture maturity"
aws-waf-performance,standard,"AWS, Performance Efficiency Pillar -- AWS Well-Architected Framework (accessed 2026-07)",https://docs.aws.amazon.com/wellarchitected/latest/performance-efficiency-pillar/welcome.html,Elasticity demand-prediction and cost/performance tradeoff guidance for capacity design
babok3,standard,"IIBA, A Guide to the Business Analysis Body of Knowledge (BABOK Guide), Version 3 (2015)",https://www.iiba.org/contentassets/a566a72f87314878bbed046681829fb8/business-analysis-body-of-knowledge-babok-guide-v3.pdf,Requirements elicitation and business-analysis competency standard
bai2022-cai,theory,"Bai et al., Constitutional AI: Harmlessness from AI Feedback, Anthropic (2022)",https://arxiv.org/abs/2212.08073,Self-critique/revision technique for scalable safety oversight
barocas2019-fairness,theory,"Barocas, Hardt & Narayanan, Fairness and Machine Learning: Limitations and Opportunities (MIT Press, 2023)",https://fairmlbook.org/,Formalizes statistical fairness criteria and their trade-offs/impossibility results
bass2021,theory,"Bass, Clements & Kazman, Software Architecture in Practice, 4th Edition (Addison-Wesley, 2021)",https://www.sei.cmu.edu/library/software-architecture-in-practice-fourth-edition/,"SEI architecture-practice framework (quality attributes, tactics, evaluation)"
beck2002,theory,"Beck, Test-Driven Development: By Example (Addison-Wesley, 2002)",https://www.oreilly.com/library/view/test-driven-development/0321146530/,Origin of TDD discipline; anchors testable-systems design practice
bergstra2012-randomsearch,theory,"Bergstra & Bengio, Random Search for Hyper-Parameter Optimization, Journal of Machine Learning Research 13, 281-305 (2012)",https://jmlr.org/papers/v13/bergstra12a.html,Establishes random search as a standard hyperparameter tuning baseline
beyondcorp2014,theory,"Ward & Beyer, BeyondCorp: A New Approach to Enterprise Security, ;login: 39(6), 6-11 (USENIX, 2014)",https://www.usenix.org/system/files/login/articles/login_dec14_02_ward.pdf,Google's device/identity-based perimeter-replacement architecture; origin of zero-trust practice later standardized in NIST SP 800-207; verified via WebSearch + curl (HTTP 200)
bhatti2021-docsfordevelopers,theory,"Bhatti, Corleissen, Lambourne, Nunez & Waterhouse, Docs for Developers: An Engineer's Field Guide to Technical Writing (Apress, 2021)",https://docsfordevelopers.com/,"Practitioner field guide for technical content, samples and API storytelling across the doc lifecycle"
bianco2013-pyramid,theory,"Bianco, The Pyramid of Pain (Enterprise Detection & Response blog, 2013)",http://detect-respond.blogspot.com/2013/03/the-pyramid-of-pain.html,Named model ranking indicator types by the cost they impose on adversaries; foundational to detection-engineering maturity
bip32,standard,"Wuille, BIP-32: Hierarchical Deterministic Wallets (Bitcoin Improvement Proposals, 2012)",https://github.com/bitcoin/bips/blob/master/bip-0032.mediawiki,Canonical HD wallet key-derivation standard
bip39,standard,"Bitcoin Core contributors, BIP-39: Mnemonic Code for Generating Deterministic Keys (Bitcoin Improvement Proposals, 2013)",https://github.com/bitcoin/bips/blob/master/bip-0039.mediawiki,Canonical mnemonic seed-phrase standard
boehm1981,theory,"Boehm, Software Engineering Economics (Prentice-Hall, 1981)",https://archive.org/details/softwareengineer0000boeh,Empirically grounded cost-of-defect-escape curve underlying defect-triage prioritization
bommasani2021-foundation,theory,"Bommasani et al., On the Opportunities and Risks of Foundation Models, Stanford CRFM (2021)",https://arxiv.org/abs/2108.07258,"Cross-model foundation-model landscape, capability shifts and risk framing"
bossidy2002,theory,"Bossidy, Charan & Burck, Execution: The Discipline of Getting Things Done (Crown Business, 2002)",https://www.penguinrandomhouse.com/books/16316/execution-by-larry-bossidy-and-ram-charan/,"Execution-as-discipline framework linking people, strategy and operations; anchors cross-functional initiative leveling"
boudreau2007,theory,"Boudreau & Ramstad, Beyond HR: The New Science of Human Capital (Harvard Business School Press, 2007)",https://archive.org/details/beyondhrnewscien0000boud,"Origin of ‘talentship’ -- decision science applied to workforce/pivotal-role investment; anchors sourcing, pipelining, and people-analytics leveling"
brealey-myers-allen2023,theory,"Brealey, Myers, Allen & Edmans, Principles of Corporate Finance, 14th ed. (McGraw Hill, 2023)",https://www.mheducation.com/highered/product/principles-of-corporate-finance-brealey.html,Canonical corporate-finance text; NPV/IRR capital budgeting and driver-based forecasting theory
brealey2019,theory,"Brealey, Myers & Allen, Principles of Corporate Finance, 13th Edition (McGraw-Hill, 2019)",https://www.mheducation.com/highered/product/principles-of-corporate-finance-brealey.html,Standard NPV/valuation mechanics reference; anchors standard business-case leveling
brewer2000-cap,theory,"Brewer, Towards Robust Distributed Systems (PODC keynote, 2000)",https://people.eecs.berkeley.edu/~brewer/cs262b-2004/PODC-keynote.pdf,Origin of the CAP conjecture for consistency/availability trade-offs
brinker2016-hackingmarketing,theory,"Brinker, Hacking Marketing: Agile Practices to Make Marketing Smarter, Faster, and More Innovative (Wiley, 2016)",https://www.wiley.com/en-us/Hacking+Marketing%3A+Agile+Practices+to+Make+Marketing+Smarter%2C+Faster%2C+and+More+Innovative-p-9781119183235,Marketing operations managed as agile software practice
brown2020-gpt3,theory,"Brown et al., Language Models are Few-Shot Learners, NeurIPS 2020",https://arxiv.org/abs/2005.14165,GPT-3; establishes in-context few-shot prompting as a technique
bruner2004,theory,"Bruner, Applied Mergers and Acquisitions (Wiley Finance, 2004)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=553561,"Standard M&A valuation, diligence and negotiation toolkit; 403 on automated fetch (bot-blocked) but title/publisher/year confirmed via web search"
burgess1995,theory,"Burgess, Cfengine: A Site Configuration Engine, USENIX Computing Systems 8(3) (1995)",https://www.gnu.org/software/cfengine/papers.html,Founding paper of convergent configuration management; convergent operators and desired-state self-repair
bush2019-plg,theory,"Bush, Product-Led Growth: How to Build a Product That Sells Itself (Product-Led Institute, 2019)",https://productled.com/book/,"Product-led go-to-market motion as a codified, repeatable launch playbook"
buxton2007-sketching,theory,"Buxton, Sketching User Experiences: Getting the Design Right and the Right Design (Morgan Kaufmann, 2007)",https://www.billbuxton.com/bookFlyer.pdf,Canonical fidelity-spectrum framework distinguishing sketches from validating prototypes
cadbury1992,standard,"Cadbury, Report of the Committee on the Financial Aspects of Corporate Governance (Gee and Co., 1992)",https://www.ecgi.global/sites/default/files/codes/documents/cadbury.pdf,"Founding corporate-governance code (non-executive directors, disclosure); template for later national and OECD codes"
cagan2017-inspired,theory,"Cagan, INSPIRED: How to Create Tech Products Customers Love, 2nd Edition (Wiley, 2018)",https://www.svpg.com/inspired-2nd-edition/,SVPG discovery-risk framework (value/usability/feasibility/viability); PM domain-expertise and discovery-judgment anchor
cagan2020-empowered,theory,"Cagan & Jones, EMPOWERED: Ordinary People, Extraordinary Products (Wiley, 2020)",https://www.svpg.com/empowered/,Executive trust-building and organizational product-leadership practice
cameron-quinn2011,theory,"Cameron & Quinn, Diagnosing and Changing Organizational Culture: Based on the Competing Values Framework, 3rd Edition (Jossey-Bass, 2011)","https://www.wiley.com/en-us/Diagnosing+and+Changing+Organizational+Culture:+Based+on+the+Competing+Values+Framework,+3rd+Edition-p-9781118003329",Competing Values Framework and OCAI diagnostic instrument; anchors OD/culture-diagnosis leveling
cannes-lions-awards,standard,"Cannes Lions International Festival of Creativity, Lions Awards Criteria (accessed 2026-07)",https://www.canneslions.com/awards/lions,Industry-referenced judging criteria for creative excellence and effectiveness
cappelli2008,theory,"Cappelli, Talent on Demand: Managing Talent in an Age of Uncertainty (Harvard Business Press, 2008)",https://store.hbr.org/product/talent-on-demand-managing-talent-in-an-age-of-uncertainty/4478,Supply-chain-style framework for workforce/headcount planning under demand uncertainty
casella-berger2002,theory,"Casella & Berger, Statistical Inference, 2nd Edition (Duxbury Press, 2002)",https://www.cengage.com/c/statistical-inference-2e-casella-berger/9780534243128/,Standard graduate reference for hypothesis testing and assumption-sensitive inference
catalini-gans2016,theory,"Catalini & Gans, Some Simple Economics of the Blockchain, NBER Working Paper No. 22952 (2016)",https://www.nber.org/papers/w22952,Foundational economic framework for blockchain/token design
ccss,standard,"CryptoCurrency Certification Consortium (C4), CryptoCurrency Security Standard (CCSS), v9.0 (2024)",https://cryptoconsortium.org/standards-2/,Industry certification standard for key/custody security
cepi-cep,standard,"Certified Equity Professional Institute (Santa Clara University), Certified Equity Professional (CEP) Program (accessed 2026-07)",https://www.scu.edu/execed/cepi/,"Three-level (ECA/Level 2/CEP) equity-compensation credential spanning accounting, plan design, securities law, and taxation; anchors equity-administration leveling"
cespedes2014,theory,"Cespedes, Aligning Strategy and Sales: The Choices, Systems, and Behaviors That Drive Effective Selling (Harvard Business Review Press, 2014)",https://frankcespedes.com/aligning-strategy-and-sales/,"Sales-as-strategy-execution framework covering process, systems and org design; anchors sales-operations leveling"
champeon-finck2003,theory,"Champeon & Finck, Inclusive Web Design For the Future (SXSW Interactive, 2003)",,Coined 'progressive enhancement' as a web-design doctrine
chang2006,empirical,"Chang et al., Bigtable: A Distributed Storage System for Structured Data (USENIX OSDI, 2006)",https://research.google/pubs/bigtable-a-distributed-storage-system-for-structured-data/,Empirical large-scale partitioning and sharding design
charan2010,company-ladder,"Charan, Drotter & Noel, The Leadership Pipeline: How to Build the Leadership-Powered Company, 2nd Edition (Jossey-Bass, 2010)",https://www.wiley.com/en-us/The+Leadership+Pipeline%3A+How+to+Build+the+Leadership-Powered+Company-p-9780787958527,Six leadership 'passages' model; anchors talent-management and succession leveling
chicago-manual-style17,standard,"University of Chicago Press, The Chicago Manual of Style, 17th Edition (2017)",https://www.chicagomanualofstyle.org/book/ed17/frontmatter/toc.html,Editorial style/governance authority; 403 on automated fetch (bot-blocked) but title/publisher confirmed via web search
chiefmartec-martech-landscape,standard,"Brinker, Marketing Technology Landscape Supergraphic, chiefmartec.com (accessed 2026-07)",https://chiefmartec.com/2026/05/2026-marketing-technology-landscape-supergraphic-peak-martech-achieved-maybe/,Industry-referenced annual census of the marketing technology stack landscape
chopra-meindl2016,theory,"Chopra & Meindl, Supply Chain Management: Strategy, Planning, and Operation, 6th Edition (Pearson, 2016)",https://books.google.com/books/about/Supply_Chain_Management.html?id=m1XFoQEACAAJ,"Canonical supply-chain textbook: network design drivers, forecasting methodology, transportation/distribution trade-offs"
christensen1997,theory,"Christensen, The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Harvard Business School Press, 1997)",https://www.hbs.edu/faculty/Pages/item.aspx?num=46,Disruptive-innovation theory; 403 on automated fetch (bot-blocked) but title/publisher confirmed via web search
christensen2016-jtbd,theory,"Christensen, Hall, Dillon & Duncan, Competing Against Luck: The Story of Innovation and Customer Choice (HarperBusiness, 2016)",https://archive.org/details/competingagainst0000chri,"Jobs-to-be-done theory: circumstance, progress sought, competing alternatives including non-consumption"
cialdini1984-influence,theory,"Cialdini, Influence: The Psychology of Persuasion (William Morrow, 1984)",https://www.influenceatwork.com/,Classic persuasion psychology; grounds resonant-narrative and skeptical-audience adaptation levels
cips-global-standard,company-ladder,"Chartered Institute of Procurement & Supply (CIPS), The Global Standard for Procurement and Supply, 2nd ed. (2021)",https://www.cips.org/intelligence-hub/global-standard-for-procurement-supply,Practitioner-level competency and career-progression benchmark spanning entry to strategic procurement leadership
cis-benchmarks,standard,"Center for Internet Security, CIS Benchmarks (accessed 2026-07)",https://www.cisecurity.org/cis-benchmarks,Consensus hardening baselines for OS/container/cloud images -- link 403s to automated clients but page confirmed live by WebSearch
cis-controls-v8,standard,"Center for Internet Security, CIS Critical Security Controls, Version 8 (2021)",https://www.cisecurity.org/controls/v8,"18 consensus-built controls (incl. Control 1: Inventory and Control of Enterprise Assets, Control 4: Secure Configuration) authored by a global practitioner community; anchors endpoint-management leveling"
cleveland2012-callcenter,theory,"Cleveland, Call Center Management on Fast Forward: Succeeding in Today's Dynamic Customer Contact Environment, 3rd Edition (ICMI Press, 2012)",https://archive.org/details/callcentermanage0000brad_3rded,"Industry-standard reference on contact-center workforce management, forecasting, and queue operations"
cloc-core12,company-ladder,"Corporate Legal Operations Consortium (CLOC), Core 12 Maturity Model (accessed 2026-07)",https://cloc.org/cloc-core-12/,"Four-stage maturity model (Reactive, Emerging, Developing, Leading) across 12 legal-operations competency areas."
clrs2009,theory,"Cormen, Leiserson, Rivest & Stein, Introduction to Algorithms, 3rd ed. (MIT Press, 2009)",https://mitpress.mit.edu/9780262533058/introduction-to-algorithms/,Canonical algorithms and data-structures reference
cmi-content-marketing-framework,company-ladder,"Content Marketing Institute (Pulizzi), Content Marketing Framework (accessed 2026-07)",https://contentmarketinginstitute.com/,Industry-standard content marketing strategy and governance framework
cncf-platform-maturity,standard,"CNCF TAG App Delivery, Platform Engineering Maturity Model (2023)",https://tag-app-delivery.cncf.io/whitepapers/platform-eng-maturity-model/,Maturity tiers for platform-as-a-product investment across people/process/policy/technology; link verified 200
cobit2019,standard,"ISACA, COBIT 2019 Framework: Governance and Management Objectives (2018)",https://www.isaca.org/resources/cobit,40 governance/management objectives for enterprise IT; anchors enterprise-application administration governance and strategy leveling
codd1970,theory,"Codd, A Relational Model of Data for Large Shared Data Banks, Communications of the ACM 13(6), 377-387 (1970)",https://doi.org/10.1145/362384.362685,Foundational relational model underlying set-based query design; link 403s but title/venue confirmed by web search
cohen-bradford2005,theory,"Cohen & Bradford, Influence Without Authority, 3rd ed. (Wiley, 2017)","https://www.wiley.com/en-us/Influence+Without+Authority,+3rd+Edition-p-9781119347712",Exchange Model of influence: trading in others' currencies absent formal authority
cohen2006,empirical,"Cohen, Best Kept Secrets of Peer Code Review (SmartBear, 2006)",https://smartbear.com/resources/ebooks/best-kept-secrets-of-code-review/,"Largest published empirical study of code review (Cisco, 2,500 reviews); basis for review-effectiveness leveling"
cohn2005-estimating,theory,"Cohn, Agile Estimating and Planning (Prentice Hall, 2005)",https://www.mountaingoatsoftware.com/books/agile-estimating-and-planning,Definitive agile estimation/planning practice reference
cohn2009,theory,"Cohn, Succeeding with Agile: Software Development Using Scrum (Addison-Wesley, 2009)",,"Origin of the test automation pyramid; verified by web search, no stable canonical URL for a direct citation"
comer1979,theory,"Comer, The Ubiquitous B-Tree, ACM Computing Surveys 11(2), 121-137 (1979)",https://dl.acm.org/doi/10.1145/356770.356776,Canonical indexing data-structure survey; link returns 403 to automated fetch but title/venue confirmed via web search
coombs2022-crisiscomms,theory,"Coombs, Ongoing Crisis Communication: Planning, Managing, and Responding, 6th ed. (SAGE, 2022)",,Situational Crisis Communication Theory (SCCT); reputation-protective response strategy
cooper2014-aboutface,theory,"Cooper, Reimann, Cronin & Noessel, About Face: The Essentials of Interaction Design, 4th Edition (Wiley, 2014)",https://www.wiley.com/en-us/About+Face%3A+The+Essentials+of+Interaction+Design%2C+4th+Edition-p-9781118766576,Canonical goal-directed interaction-design method and pattern catalog
copc-cx-standard,standard,"COPC Inc., COPC Customer Experience (CX) Standard (accessed 2026-07)",https://www.copc.com/copc-standards/cx-standard/,Performance-management certification standard for contact center and CX operations in continuous use since 1996
corenet-mcr,standard,"CoreNet Global, Master of Corporate Real Estate (MCR) Designation Curriculum (accessed 2026-07)",https://www.corenetglobal.org/learn/professional-development/mcr,"Corporate real-estate competency credential (finance, strategy, portfolio risk); anchors real-estate and portfolio-strategy leveling"
coso-erm2017,standard,"COSO, Enterprise Risk Management - Integrating with Strategy and Performance (2017)",https://www.theiia.org/en/products/bookstore/coso-enterprise-risk-management---integrating-with-strategy-and-performance/,Five-component ERM framework connecting risk appetite to strategy and performance
coso-ic2013,standard,"COSO, Internal Control-Integrated Framework (2013)",https://www.coso.org/guidance-on-ic,"Five components / 17 principles for control design, implementation, and testing maturity."
coso2013,standard,"Committee of Sponsoring Organizations of the Treadway Commission (COSO), Internal Control - Integrated Framework (2013)",https://www.coso.org/guidance-on-ic,"Five-component, 17-principle internal control standard underlying most SOX 404 programs"
covey2006-speedoftrust,theory,"Covey, The Speed of Trust: The One Thing That Changes Everything (Free Press, 2006)",,Behavioral catalog of trust-building vs. trust-taxing actions
craig2002,theory,"Craig & Jaskiel, Systematic Software Testing (Artech House, 2002)",https://openlibrary.org/books/OL8780257M/Systematic_Software_Testing_(Artech_House_Computer_Library),"Risk-based systematic test-strategy method for ambiguous, high-risk programs; publisher page 403s, verified via OpenLibrary + web search"
crankshaw2017-clipper,theory,"Crankshaw et al., Clipper: A Low-Latency Online Prediction Serving System, NSDI 2017",https://www.usenix.org/system/files/conference/nsdi17/nsdi17-crankshaw.pdf,"General-purpose model serving: caching, batching, adaptive selection"
croll-yoskovitz2013-leananalytics,theory,"Croll & Yoskovitz, Lean Analytics: Use Data to Build a Better Startup Faster (O'Reilly, 2013)",https://leananalyticsbook.com/,"One Metric That Matters, stage-based metrics model, and vanity-metric diagnosis"
csoinsights2018,empirical,"CSO Insights (Miller Heiman Group), 2018-2019 Sales Performance Study: Selling in the Age of Ceaseless Change (2018)",https://www.prweb.com/releases/CSO_Insights_by_Miller_Heiman_Group_Releases_2018_2019_Sales_Performance_Study_Selling_in_the_Age_of_Ceaseless_Change_/prweb16059396.htm,"Annual global sales-leader survey; world-class vs. average forecast win-rate and quota-attainment benchmarks, anchors forecasting-rigor leveling"
csoinsights2019,empirical,"CSO Insights (Miller Heiman Group), 5th Annual Sales Enablement Study (2019)",https://salesenablement.pro/assets/2019/10/CSO-Insights-5th-Annual-Sales-Enablement-Study.pdf,Empirical benchmark study of sales-enablement program maturity and coaching effectiveness; anchors enablement/coaching leveling
css-cascade5,standard,"W3C CSS Working Group, CSS Cascading and Inheritance Level 5",https://www.w3.org/TR/css-cascade-5/,Formal specificity/cascade resolution algorithm underlying styling-system conflicts
css-flexbox1,standard,"W3C CSS Working Group, CSS Flexible Box Layout Module Level 1",https://www.w3.org/TR/css-flexbox-1/,One-dimensional adaptive layout standard
css-grid1,standard,"W3C CSS Working Group, CSS Grid Layout Module Level 1",https://www.w3.org/TR/css-grid-1/,Two-dimensional layout standard underlying modern responsive systems
cunningham1992,theory,"Cunningham, The WyCash Portfolio Management System, OOPSLA 1992 Experience Report",https://c2.com/doc/oopsla92.html,Origin of the technical-debt metaphor (principal and accruing interest)
cvss31,standard,"FIRST.org, Common Vulnerability Scoring System version 3.1: Specification Document (2019)",https://www.first.org/cvss/v3-1/specification-document,Industry-standard severity scoring used to prioritize vulnerability remediation
cwe,standard,"MITRE, Common Weakness Enumeration (CWE) (accessed 2026-07)",https://cwe.mitre.org/,Community-maintained taxonomy of software and hardware weakness classes underlying exploit research
cxpa-ccxp,standard,"Customer Experience Professionals Association, CXPA CX Framework and Certified Customer Experience Professional (CCXP) Competency Framework (accessed 2026-07)",https://cxpaglobal.org/cxpacxframework,"Five-competency certification standard for CX strategy, insight, metrics, design, and culture practice"
