capability_id,level,source_keys,why
AI-11,P5,sfia9;bergstra2012-randomsearch,"Anticipating advances in search techniques -- as Bayesian optimization itself displaced grid search, per Bergstra & Bengio's and Snoek et al.'s findings -- ahead of the org needing them is SFIA's authority band."
AI-11,P6,dreyfus1980;sfia9,"Being externally recognized for defining hyperparameter-optimization best practice is the master/pioneer band -- contributing methods at the level Bergstra & Bengio and Snoek et al. did, not applying theirs."
AI-12,P1,dreyfus1980,"Applying basic, supplied mathematical concepts under guidance, without independently choosing which tool fits a problem, is Dreyfus's novice band."
AI-12,P2,dreyfus1980;strang2016-linalg,"Applying the standard linear-algebra machinery Strang's text covers (matrix decompositions, eigenvectors) correctly and independently for routine modeling is Dreyfus's advanced-beginner band -- known tools matched to recognized problems."
AI-12,P3,dreyfus1980;casella-berger2002,"Reasoning rigorously and autonomously about hard statistical aspects -- the hypothesis-testing and estimation theory Casella & Berger formalize -- for ambiguous problems is Dreyfus's competent band, applying graduate-level inference unaided."
AI-12,P4,sfia9;casella-berger2002,"Defining how foundational theory of the kind Casella & Berger and Strang formalize informs team practice, and catching subtle statistical errors others miss, is SFIA's expert band of setting the approach others follow."
AI-12,P5,sfia9;casella-berger2002,Setting org-wide standards for mathematical rigor and anticipating relevant theoretical advances is SFIA's authority band -- strategic stewardship of the foundational discipline rather than one team's correctness.
AI-12,P6,dreyfus1980;sfia9,"External recognition for advancing applied mathematical practice is the master/pioneer band -- contributing new theory at the level of reference texts like Strang's or Casella & Berger's, not applying them."
AI-13,P1,dreyfus1980,"Computing a prescribed metric under review, without choosing the validation scheme, is Dreyfus's novice band."
AI-13,P2,dreyfus1980;kohavi1995-crossval,"Selecting an appropriate cross-validation split independently for routine cases is applying Kohavi's well-established finding that ten-fold cross-validation is the right default for most model-selection problems -- Dreyfus's advanced-beginner band, a known technique matched to a recognized situation."
AI-13,P3,dreyfus1980;hastie2009-esl,"Designing sound evaluation for leakage-prone or imbalanced cases autonomously goes beyond Kohavi's default cross-validation recommendation into the bias-variance-aware validation design Hastie et al. treat as a judgment call, not a fixed recipe; doing this unaided is Dreyfus's competent band."
AI-13,P4,sfia9;kohavi1995-crossval,Defining validation standards other teams adopt -- codifying when Kohavi's cross-validation defaults do and don't apply -- is SFIA's expert band of setting the approach others follow.
AI-13,P5,sfia9;hastie2009-esl,"Setting org-wide evaluation strategy and anticipating advances in validation practice is SFIA's authority band, extending the estimation-theory foundations Hastie et al. and Kohavi established to new problem classes."
AI-13,P6,dreyfus1980;sfia9,"External recognition for defining model-evaluation best practice is the master/pioneer band -- work that stands alongside foundational validation methodology like Kohavi's and Hastie et al.'s, not derived from applying it."
AI-14,P1,dreyfus1980,"Executing an experiment someone else designed, under guidance, is Dreyfus's novice band."
AI-14,P2,dreyfus1980;kohavi2020-trustworthy,"Designing and running a standard controlled experiment independently, with correct basic statistical analysis, is applying the core online-controlled-experiment recipe Kohavi, Tang & Xu lay out for routine cases -- Dreyfus's advanced-beginner band."
AI-14,P3,dreyfus1980;kohavi2020-trustworthy,"Handling confounds and tricky readouts (novelty effects, sample ratio mismatch, network interference) autonomously is exactly the set of pitfalls Kohavi, Tang & Xu devote their book to; resolving them unaided for ambiguous cases is Dreyfus's competent band."
AI-14,P4,sfia9;kohavi2020-trustworthy,"Defining experimentation frameworks and guardrail metrics other teams adopt is institutionalizing the trustworthy-experimentation practices Kohavi, Tang & Xu describe scaling across Microsoft, Google and LinkedIn; SFIA's expert band names this as setting the approach others follow."
AI-14,P5,sfia9;kohavi2020-trustworthy,"Anticipating advances in causal and online testing methodology, ahead of the org needing them, is SFIA's authority band -- strategic direction for the experimentation platform, not one experiment's design."
AI-14,P6,dreyfus1980;sfia9,"External credibility for defining ML experimentation best practice is the master/pioneer band -- contributing at the level Kohavi, Tang & Xu's reference text does, not applying it."
AI-15,P1,dreyfus1980,"Running a prescribed fairness check under review, without choosing the fairness criterion, is Dreyfus's novice band."
AI-15,P2,dreyfus1980;barocas2019-fairness,"Applying a standard fairness metric independently for a routine model is matching a recognized situation to one of the statistical fairness criteria Barocas, Hardt & Narayanan catalog -- Dreyfus's advanced-beginner band, not yet weighing which criterion fits which context."
AI-15,P3,dreyfus1980;barocas2019-fairness,"Diagnosing subtle bias autonomously in ambiguous cases requires the impossibility-result literalness Barocas, Hardt & Narayanan formalize -- most fairness criteria conflict, so the choice of which to satisfy is a judgment call, not a lookup; making that call unaided is Dreyfus's competent band."
AI-15,P4,sfia9;barocas2019-fairness,"Defining a fairness framework other teams adopt -- choosing and justifying which of Barocas, Hardt & Narayanan's criteria the org applies where -- is SFIA's expert band of setting the approach others follow."
AI-15,P5,sfia9;barocas2019-fairness,"Anticipating evolving ethical and regulatory expectations around fairness, ahead of the org needing to respond, is SFIA's authority band -- strategic foresight beyond any one model's fairness audit."
AI-15,P6,dreyfus1980;sfia9,"Being externally recognized for shaping industry fairness practice is the master/pioneer band -- contributing to the same body of foundational work Barocas, Hardt & Narayanan represent, not applying it."
AI-16,P1,dreyfus1980,"Running predefined pipeline steps under review, without designing the pipeline, is Dreyfus's novice band."
AI-16,P2,dreyfus1980;kreuzberger2023-mlops,"Building and deploying a routine pipeline independently, following the automation levels Kreuzberger et al. define (manual, automated training, full CI/CD), is Dreyfus's advanced-beginner band -- a known architecture applied to a recognized case."
AI-16,P3,dreyfus1980;sculley2015-hiddentechdebt,"Designing reliable, reproducible pipelines for hard cases autonomously means resolving the entanglement, hidden feedback loops and pipeline jungles Sculley et al. document as ML systems' distinctive technical debt; doing this unaided is Dreyfus's competent band."
AI-16,P4,sfia9;kreuzberger2023-mlops,Defining MLOps patterns and deployment standards other teams adopt is operating at Kreuzberger et al.'s highest automation maturity level as an org-wide template; SFIA's expert band names this as setting the approach others follow.
AI-16,P5,sfia9;sculley2015-hiddentechdebt,"Setting org-wide MLOps strategy and anticipating shifts in lifecycle automation is SFIA's authority band -- strategic direction for how the org avoids the systemic technical debt Sculley et al. describe, not one pipeline's design."
AI-16,P6,dreyfus1980;sfia9,External recognition for defining ML-operations best practice across the discipline is the master/pioneer band -- contributing reference architecture at the level Kreuzberger et al.'s survey and Sculley et al.'s debt analysis represent.
AI-17,P1,dreyfus1980,"Watching a configured monitor and reporting alerts under guidance, without designing the monitor, is Dreyfus's novice band."
AI-17,P2,dreyfus1980;gama2014-conceptdrift,"Setting up standard drift detection independently, using one of the established detection strategies Gama et al. survey (e.g., statistical process control on error rate), is Dreyfus's advanced-beginner band -- a known technique applied to a recognized monitoring need."
AI-17,P3,dreyfus1980;gama2014-conceptdrift,"Catching subtle drift and triaging its cause autonomously requires distinguishing the different drift types (sudden, gradual, recurring) Gama et al. categorize, each needing a different detection and adaptation strategy; doing this unaided for ambiguous cases is Dreyfus's competent band."
AI-17,P4,sfia9;gama2014-conceptdrift,Defining drift-detection patterns other teams adopt is codifying the adaptation strategies Gama et al. survey into an org-wide standard rather than one model's monitor; SFIA's expert band names this as setting direction others follow.
AI-17,P5,sfia9;gama2014-conceptdrift,"Setting org-wide monitoring strategy and anticipating advances in drift-detection technique is SFIA's authority band, extending the survey landscape Gama et al. establish to the org's evolving needs."
AI-17,P6,dreyfus1980;sfia9,"External credibility for defining model-monitoring best practice is the master/pioneer band -- contributing to the same body of reference work Gama et al.'s survey represents, not applying it."
AI-18,P1,dreyfus1980,"Recording versions per an existing process under review, without designing the versioning scheme, is Dreyfus's novice band."
AI-18,P2,dreyfus1980;zaharia2018-mlflow,"Managing standard versioning independently using a tracking system like the one Zaharia et al. describe (logging parameters, metrics, and artifacts per run) is Dreyfus's advanced-beginner band -- a known tool applied to a recognized need."
AI-18,P3,dreyfus1980;zaharia2018-mlflow,"Designing reproducible versioning across complex lineages autonomously is solving the reproducibility challenge Zaharia et al. built MLflow specifically to address -- tracking not just a model but the full chain of data, code and parameters that produced it; doing this unaided is Dreyfus's competent band."
AI-18,P4,sfia9;zaharia2018-mlflow,Defining reproducibility standards other teams adopt is institutionalizing the lineage-tracking practice Zaharia et al. describe as an org-wide requirement rather than one team's discipline; SFIA's expert band names this as setting the approach others follow.
AI-18,P5,sfia9;zaharia2018-mlflow,"Setting org-wide versioning strategy and anticipating shifts in reproducibility practice is SFIA's authority band -- strategic direction for the org's experiment-tracking infrastructure, not one project's lineage."
AI-18,P6,dreyfus1980;sfia9,External recognition for defining versioning best practice is the master/pioneer band -- contributing reference infrastructure at the level Zaharia et al.'s MLflow work represents.
AI-19,P1,dreyfus1980,"Deploying to a serving setup with given configs under review, without tuning it, is Dreyfus's novice band."
AI-19,P2,dreyfus1980;crankshaw2017-clipper,"Applying standard latency and throughput tuning (caching, batching) independently is using the techniques Crankshaw et al.'s Clipper system operationalized for routine serving needs -- Dreyfus's advanced-beginner band."
AI-19,P3,dreyfus1980;pope2022-inference-scaling,Optimizing serving for hard latency and cost constraints autonomously goes beyond Clipper's general-purpose caching/batching into the model-specific partitioning trade-offs Pope et al. analyze for large-scale inference; resolving these unaided is Dreyfus's competent band.
AI-19,P4,sfia9;pope2022-inference-scaling,Defining serving patterns other teams adopt is codifying the partitioning and batching techniques Crankshaw et al. and Pope et al. describe into an org-wide serving architecture; SFIA's expert band names this as setting direction others follow.
AI-19,P5,sfia9;pope2022-inference-scaling,Anticipating advances in inference efficiency -- the kind of multi-dimensional partitioning frontier Pope et al. establish for large models -- ahead of the org needing them is SFIA's authority band.
AI-19,P6,dreyfus1980;sfia9,External recognition for defining model-serving best practice is the master/pioneer band -- contributing reference systems at the level Crankshaw et al.'s Clipper and Pope et al.'s scaling work represent.
AI-20,P1,dreyfus1980,"Translating an already-scoped problem into a defined ML task under guidance, without doing the scoping, is Dreyfus's novice band."
AI-20,P2,dreyfus1980;provost-fawcett2013,Framing a routine business problem as an ML task independently is applying the data-analytic-thinking process Provost & Fawcett formalize for recognized problem shapes -- Dreyfus's advanced-beginner band.
AI-20,P3,dreyfus1980;zinkevich-rules-of-ml,"Judging when an ML approach is or isn't warranted for an ambiguous business problem -- including recommending against ML -- is precisely Zinkevich's Rule #1 (""don't be afraid to launch without machine learning"") applied autonomously; doing this unaided is Dreyfus's competent band."
AI-20,P4,sfia9;provost-fawcett2013,"Defining solution-design patterns other teams adopt, and reframing problems that resist standard framing, is SFIA's expert band of setting the approach others follow, extending the data-analytic-thinking framework Provost & Fawcett establish."
AI-20,P5,sfia9;provost-fawcett2013,Setting org-wide ML solution strategy and anticipating where applicable techniques are heading is SFIA's authority band -- strategic foresight beyond any single problem's framing.
AI-20,P6,dreyfus1980;sfia9,"External recognition for defining ML problem-framing best practice is the master/pioneer band -- contributing to the same body of reference work Provost & Fawcett's text and Zinkevich's rules represent, not applying it."
AI-21,P1,dreyfus1980;nist-ai-rmf,"Completing a supplied risk checklist accurately and escalating gaps, without yet designing the checklist, is Dreyfus's novice band -- correct execution of a predefined MAP-function artifact per NIST's AI RMF."
AI-21,P2,dreyfus1980;nist-ai-rmf,"Assessing failure impact and documenting residual risk unprompted, for a routine feature, is Dreyfus's advanced-beginner band -- independently applying the MAP/MEASURE steps of NIST's AI RMF to a recognized situation without redesigning the framework."
AI-21,P3,dreyfus1980;eu-ai-act;nist-ai-rmf,"Classifying a system against a risk framework and keeping an audit-ready evidence pack autonomously maps directly onto the EU AI Act's risk-tiering scheme (minimal/limited/high/unacceptable) and NIST's MEASURE function; doing this unaided for an ambiguous, evolving domain is Dreyfus's competent band."
AI-21,P4,sfia9;iso-iec-42001,Operating a cross-team review process and building tooling that embeds compliance into normal engineering is the organizational-scale implementation ISO/IEC 42001 specifies for an AI management system; defining that process as the pattern other teams adopt is SFIA's expert band.
AI-21,P5,sfia9;eu-ai-act;iso-iec-42001,"Owning a governance program that translates regulation such as the EU AI Act into engineering requirements, jointly with legal and risk functions, is SFIA's authority band applied to ISO/IEC 42001's top-level management-system ownership -- org-wide accountability, not a single domain's compliance."
AI-21,P6,dreyfus1980;sfia9;eu-ai-act,"Being accountable to boards and regulators for where risk lines are drawn -- ahead of where regulation like the EU AI Act currently sits -- is the master/pioneer band: shaping how the discipline of AI governance itself develops, not just complying with its current state."
ARC-01,P1,dreyfus1980,"Applying a chosen style to a component under guidance, with the choice reviewed, is Dreyfus' novice band: following a supplied rule without judging fit."
ARC-01,P2,dreyfus1980,Selecting from familiar patterns for routine systems independently is the advanced-beginner band: recognized situations matched to known styles without weighing novel context.
ARC-01,P3,dreyfus1980;fowler2002-poeaa;richards-ford2020,"Autonomously combining and justifying styles against constraints for ambiguous systems is the Dreyfus competent band, and is the deliberate trade-off practice Fowler's pattern catalog and Richards & Ford's architectural-characteristics method assume a practitioner applies unaided."
ARC-01,P4,sfia9;fowler2002-poeaa,"Defining reference architectures and pattern catalogs others adopt across systems is authoring the kind of artifact Fowler's own catalog is; SFIA9's higher responsibility bands describe this as setting technical direction others follow, not merely applying it."
ARC-01,P5,sfia9,"Setting the organization's architectural style strategy and anticipating structural shifts matches SFIA9's strategic-influence band: judgment that shapes direction across the organization, not a single system."
ARC-01,P6,sfia9;richards-ford2020,Originating styles the wider industry recognizes and adopts is the discipline-shaping band SFIA9 reserves for its highest responsibility level; Fowler's and Richards & Ford's own catalogs are examples of individuals operating at this level.
ARC-02,P1,dreyfus1980,"Splitting a service along boundaries already defined, with the decomposition reviewed, is the novice band: executing someone else's decomposition decision."
ARC-02,P2,dreyfus1980;newman2021-microservices,Decomposing routine systems using established boundary heuristics independently is the advanced-beginner band applying Newman's recognized decomposition-by-capability recipes without novel judgment.
ARC-02,P3,dreyfus1980;newman2021-microservices,"Designing boundaries for complex domains and resolving overlap and ownership ambiguity autonomously is the competent band; it is the hard case Newman's decomposition chapters address, where heuristics alone don't resolve the boundary."
ARC-02,P4,sfia9;newman2021-microservices,"Defining decomposition methods and boundary heuristics teams reuse across products is authoring guidance at Newman's own level of contribution; SFIA9 marks this as setting method, not just applying it."
ARC-02,P5,sfia9,"Setting enterprise-wide boundary and ownership strategy, anticipating decomposition pressures, is SFIA9's strategic-influence band extending beyond any one product."
ARC-02,P6,sfia9;newman2021-microservices,Shaping how the industry reasons about service boundaries and decomposition is the pioneer band; it is what made Newman's own writing a reference for the field.
ARC-03,P1,dreyfus1980,"Translating given domain rules into a model under review is the novice band: rules handed down, not derived."
ARC-03,P2,dreyfus1980;evans2003-ddd,"Building models for familiar domains independently, capturing standard entities and relationships, is the advanced-beginner band applying Evans' entity/value-object vocabulary without yet needing to negotiate it."
