id,segment,domain,focus_area,capability,type,description,P1_assisted,P2_independent,P3_proficient,P4_expert,P5_authority,P6_pioneer
FE-01,Engineering & Technology,Frontend & Client Engineering,UI Construction & Rendering,Component-based UI architecture,Technical,"Composing user interfaces from reusable, encapsulated UI components with clear boundaries and contracts.",Builds simple components from existing patterns; relies on review to validate boundaries and props.,"Composes reusable components independently, handling standard prop, state, and event wiring with normal review.",Designs component hierarchies and clear interfaces autonomously; resolves tricky composition and reuse trade-offs.,Defines the component architecture and conventions teams adopt; untangles deeply coupled or overgrown trees.,Sets organization-wide component design strategy; anticipates how composition models should evolve.,Defines what good component architecture means industrywide; shapes practice through widely adopted patterns.
FE-02,Engineering & Technology,Frontend & Client Engineering,UI Construction & Rendering,Declarative UI rendering & reactivity,Technical,Expressing UI as a function of state and managing efficient re-rendering when data changes.,Binds data to views and updates state for simple cases under review.,"Builds reactive views independently, managing derived state and updates with routine review.",Designs reactive data flows autonomously; debugs subtle re-render and dependency issues.,Defines reactivity patterns others follow; resolves the hardest update and consistency problems.,Sets strategy for declarative rendering models; anticipates where reactivity paradigms head.,Defines industry understanding of reactive UI; pioneers widely emulated rendering approaches.
FE-03,Engineering & Technology,Frontend & Client Engineering,UI Construction & Rendering,Document structure & semantic markup,Technical,"Structuring content with meaningful, well-formed markup that conveys semantics and hierarchy.",Writes valid markup using common semantic elements for simple pages under review.,Structures documents independently with correct semantics for standard content layouts.,"Designs robust semantic structures autonomously; handles complex, dynamic, or nested content.",Defines markup conventions teams adopt; resolves ambiguous structural and semantic edge cases.,Sets organizational standards for semantic document structure; anticipates evolving markup capabilities.,Shapes industry norms for semantic markup; influences standards and widely referenced practice.
FE-04,Engineering & Technology,Frontend & Client Engineering,UI Construction & Rendering,Client-side rendering strategies,Technical,"Choosing among client, server, static, and hybrid rendering approaches to balance speed and interactivity.",Implements basic client rendering for simple views under guidance.,"Applies standard rendering approaches independently, handling routine hydration and load cases.",Chooses and tunes rendering strategies autonomously across varied app and performance needs.,Defines rendering-strategy approaches teams adopt; solves hard hydration and timing problems.,Sets rendering strategy across systems; anticipates shifts in client rendering models.,Defines best practice for rendering strategies industrywide; pioneers influential approaches.
FE-05,Engineering & Technology,Frontend & Client Engineering,State & Data on the Client,Client-side state management,Technical,"Modeling, storing, and synchronizing application and UI state across the client at appropriate scope.",Reads and updates simple shared state following established patterns under review.,Manages component and shared state independently for standard flows with normal review.,Designs state architecture autonomously; resolves complex synchronization and ownership issues.,Defines state-management patterns others adopt; untangles tangled global and derived state.,Sets state-management strategy across the organization; anticipates evolving paradigms.,Defines what good client state management means; shapes industry patterns and practice.
FE-06,Engineering & Technology,Frontend & Client Engineering,State & Data on the Client,Client-side data fetching & caching,Technical,"Retrieving, caching, revalidating, and synchronizing remote data within the client lifecycle.",Fetches and displays data for simple endpoints under review.,Implements fetching with loading and error states independently for standard cases.,Designs fetching and caching strategies autonomously; handles invalidation and race conditions.,Defines fetching and caching patterns teams adopt; solves hard staleness and consistency problems.,Sets strategy for client data access and caching; anticipates evolving data-sync models.,Shapes industry practice for client data fetching and caching; pioneers influential approaches.
FE-07,Engineering & Technology,Frontend & Client Engineering,State & Data on the Client,Client-side routing & navigation,Technical,"Managing in-application navigation, route state, and history without full reloads.",Adds routes and links for simple navigation under guidance.,Implements nested and parameterized routing independently for standard flows.,"Designs routing architecture autonomously; handles guards, lazy loading, and deep linking.",Defines routing patterns others adopt; resolves complex navigation and state-preservation cases.,Sets navigation architecture strategy across applications; anticipates evolving routing models.,Defines best practice for client routing industrywide; shapes widely adopted approaches.
FE-08,Engineering & Technology,Frontend & Client Engineering,Layout & Visual Styling,Responsive & adaptive layout,Technical,"Designing layouts that fluidly adapt across viewport sizes, orientations, and device capabilities.",Applies provided responsive rules to simple layouts under review.,Builds responsive layouts independently across common breakpoints and devices.,Designs adaptive layout systems autonomously; handles complex fluid and content-driven cases.,Defines responsive layout approaches teams adopt; solves the hardest cross-device challenges.,Sets organizational strategy for responsive and adaptive layout; anticipates new device classes.,Shapes industry practice for responsive design; pioneers widely referenced layout techniques.
FE-09,Engineering & Technology,Frontend & Client Engineering,Layout & Visual Styling,Visual styling & presentation systems,Technical,"Applying scalable styling approaches for visual presentation, theming, and consistent appearance.",Applies existing styles and tokens to components under review.,Implements styling independently following design systems for standard components.,"Designs scalable styling systems autonomously; resolves specificity, theming, and reuse issues.","Defines styling architecture and conventions others adopt; untangles fragile, sprawling styles.",Sets styling-system strategy across the organization; anticipates evolving presentation approaches.,Defines what good styling architecture means industrywide; shapes widely adopted systems.
FE-10,Engineering & Technology,Frontend & Client Engineering,Layout & Visual Styling,Cross-browser & cross-device compatibility,Technical,Ensuring consistent behavior and appearance across differing rendering engines and environments.,Fixes obvious compatibility issues on common browsers under guidance.,Tests and resolves standard cross-browser problems independently.,Designs compatibility strategies autonomously; diagnoses obscure rendering and behavior differences.,Defines compatibility approaches teams adopt; solves the most elusive cross-environment bugs.,Sets cross-browser and device strategy; anticipates platform fragmentation and capability shifts.,Shapes industry practice for compatibility; pioneers influential approaches to fragmentation.
FE-11,Engineering & Technology,Frontend & Client Engineering,Layout & Visual Styling,Animation & motion implementation,Technical,"Implementing performant, purposeful transitions and motion that enhance usability without distraction.",Implements simple transitions from provided specs under review.,Builds standard animations independently with attention to timing and smoothness.,Designs performant motion systems autonomously; handles complex sequencing and interruption.,Defines animation patterns others adopt; solves hard performance and choreography problems.,Sets motion-design implementation strategy; anticipates evolving animation capabilities.,Defines best practice for motion implementation industrywide; shapes widely adopted techniques.
FE-12,Engineering & Technology,Frontend & Client Engineering,User Experience Quality,Accessibility engineering,Technical,Building interfaces usable by people with diverse abilities and assistive technologies per inclusive standards.,Applies basic accessibility fixes following checklists under review.,Implements accessible components independently meeting standard requirements.,Designs accessible experiences autonomously; resolves complex assistive-technology and interaction cases.,Defines accessibility approaches teams adopt; solves the hardest inclusive-design problems.,Sets accessibility strategy across the organization; anticipates evolving standards and needs.,Shapes industry accessibility practice; influences standards and widely referenced guidance.
FE-13,Engineering & Technology,Frontend & Client Engineering,User Experience Quality,Frontend performance optimization,Technical,"Optimizing load, render, and runtime responsiveness through asset, network, and rendering improvements.",Applies known performance fixes to simple cases under guidance.,Profiles and improves standard performance issues independently.,"Diagnoses and optimizes performance autonomously across rendering, loading, and runtime.",Defines performance approaches teams adopt; solves the most stubborn bottlenecks.,Sets frontend performance strategy and budgets; anticipates emerging performance concerns.,Defines what good frontend performance means industrywide; pioneers influential techniques.
FE-14,Engineering & Technology,Frontend & Client Engineering,User Experience Quality,Internationalization & localization,Technical,"Adapting interfaces for multiple languages, locales, formats, and writing directions.",Externalizes strings and applies locale formatting for simple cases under review.,Implements internationalization independently for standard content and locales.,"Designs i18n architecture autonomously; handles pluralization, bidirectionality, and complex formatting.",Defines internationalization approaches teams adopt; solves hard multilingual and cultural cases.,Sets i18n and localization strategy across products; anticipates expanding locale and market needs.,Shapes industry practice for internationalization; pioneers widely adopted approaches.
FE-15,Engineering & Technology,Frontend & Client Engineering,User Experience Quality,Progressive enhancement & offline capability,Technical,Delivering resilient experiences that degrade gracefully and function under intermittent connectivity.,Adds basic fallbacks and simple offline behavior under guidance.,Implements progressive enhancement and standard offline support independently.,Designs resilient offline-capable experiences autonomously; handles sync and conflict cases.,Defines progressive-enhancement patterns teams adopt; solves hard offline and degradation problems.,Sets strategy for resilience and offline capability; anticipates evolving connectivity scenarios.,Defines best practice for progressive enhancement industrywide; shapes widely adopted approaches.
FE-16,Engineering & Technology,Frontend & Client Engineering,Client Platform & Tooling,Client build tooling & module bundling,Technical,"Configuring build pipelines, bundling, and transpilation to package and optimize client artifacts.",Runs and tweaks existing build configurations under review.,Configures standard build and bundling setups independently.,"Designs build pipelines autonomously; optimizes bundling, splitting, and asset handling.",Defines build-tooling approaches teams adopt; solves hard performance and configuration problems.,Sets build and bundling strategy across projects; anticipates evolving tooling models.,Shapes industry practice for client build tooling; pioneers influential approaches.
FE-17,Engineering & Technology,Frontend & Client Engineering,Client Platform & Tooling,Browser platform & runtime fundamentals,Technical,"Leveraging core client runtime capabilities, event models, storage, and rendering pipeline behavior.",Uses common platform APIs for simple tasks under guidance.,Applies browser runtime and lifecycle knowledge independently for standard work.,Leverages platform internals autonomously; debugs subtle runtime and event-loop behavior.,Defines platform-usage approaches teams adopt; solves deep runtime and capability problems.,Sets strategy for platform adoption; anticipates evolving browser capabilities and standards.,Defines authoritative understanding of the browser platform; shapes industry practice.
BE-01,Engineering & Technology,Backend & Distributed Services,Data Persistence & Modeling,Relational data modeling & querying,Technical,"Designs normalized relational schemas, relationships, and set-based queries for transactional data.",Writes simple queries and follows existing schemas under review.,Models standard entities and writes correct queries independently with normal review.,Designs normalized schemas autonomously; writes complex queries and resolves modeling trade-offs.,Defines data-modeling approaches teams adopt; solves the hardest schema and query problems.,Sets relational modeling strategy across systems; anticipates evolving data and access needs.,Defines best practice for relational modeling industrywide; shapes widely adopted approaches.
BE-02,Engineering & Technology,Backend & Distributed Services,Data Persistence & Modeling,Non-relational data modeling,Technical,"Models document, key-value, columnar, and graph data shaped around access patterns rather than normalization.",Stores and retrieves simple documents or records following patterns under review.,Models standard non-relational structures independently for known access patterns.,Designs non-relational schemas autonomously; optimizes for access patterns and denormalization.,Defines non-relational modeling approaches teams adopt; solves hard data-shape and scale problems.,Sets strategy for non-relational data modeling; anticipates evolving workload and access needs.,Shapes industry practice for non-relational modeling; pioneers influential approaches.
BE-03,Engineering & Technology,Backend & Distributed Services,Data Persistence & Modeling,Consistency & transaction design,Technical,"Applies transactions, isolation levels, and consistency models to keep data correct under concurrent access.",Uses provided transaction patterns for simple operations under review.,Implements standard transactions and isolation independently with normal review.,Designs consistency and transaction boundaries autonomously; resolves concurrency and isolation issues.,Defines consistency approaches teams adopt; solves the hardest correctness and contention problems.,Sets consistency and transaction strategy across systems; anticipates distributed-correctness challenges.,Defines authoritative practice for consistency design; shapes industry understanding of correctness.
BE-04,Engineering & Technology,Backend & Distributed Services,Data Persistence & Modeling,Indexing & query optimization,Technical,Designs indexes and query plans to meet latency and throughput targets at scale.,Adds suggested indexes and reads query plans under guidance.,Identifies and resolves standard slow queries independently.,Designs indexing strategies autonomously; tunes complex queries and execution plans.,Defines query-optimization approaches teams adopt; solves the most stubborn performance problems.,Sets indexing and optimization strategy across systems; anticipates evolving workload patterns.,Shapes industry practice for query optimization; pioneers widely referenced techniques.
BE-05,Engineering & Technology,Backend & Distributed Services,Data Persistence & Modeling,Search & indexing,Technical,"Builds full-text and faceted search using inverted indexes, ranking, and relevance tuning.",Implements basic search queries against existing indexes under review.,Builds standard search and indexing pipelines independently.,Designs search and relevance strategies autonomously; tunes ranking and indexing trade-offs.,"Defines search architecture teams adopt; solves hard relevance, scale, and freshness problems.",Sets search strategy across products; anticipates evolving retrieval and ranking needs.,Defines best practice for search and indexing industrywide; shapes widely adopted approaches.
BE-06,Engineering & Technology,Backend & Distributed Services,Data Access & Caching,Caching strategy & invalidation,Technical,"Selects cache placement, eviction, and invalidation strategies to balance freshness against performance.",Adds simple caching following established patterns under review.,Implements standard caching with basic invalidation independently.,"Designs caching strategies autonomously; resolves invalidation, staleness, and coherence issues.",Defines caching approaches teams adopt; solves the hardest invalidation and consistency problems.,Sets caching strategy across systems; anticipates evolving consistency and scale demands.,Defines authoritative practice for caching and invalidation; shapes industry understanding.
BE-07,Engineering & Technology,Backend & Distributed Services,Data Access & Caching,Data partitioning & sharding,Technical,Splits and distributes data across nodes to scale storage and access while managing rebalancing.,Operates within existing partitioning schemes for simple tasks under guidance.,Implements standard partitioning following defined strategies independently.,Designs partitioning and sharding schemes autonomously; handles rebalancing and hotspot issues.,Defines partitioning approaches teams adopt; solves hard distribution and skew problems.,Sets partitioning strategy across systems; anticipates evolving scale and topology needs.,Shapes industry practice for partitioning and sharding; pioneers influential approaches.
BE-08,Engineering & Technology,Backend & Distributed Services,Data Access & Caching,Replication & data distribution,Technical,"Replicates data across nodes and regions, reasoning about lag, failover, and read/write trade-offs.",Operates replicated setups for simple tasks under guidance.,Configures standard replication independently following defined patterns.,"Designs replication topologies autonomously; resolves lag, conflict, and failover issues.",Defines replication approaches teams adopt; solves hard distribution and consistency problems.,Sets replication and distribution strategy across systems; anticipates evolving topology needs.,Defines best practice for replication and data distribution; shapes industry practice.
BE-09,Engineering & Technology,Backend & Distributed Services,Messaging & Eventing,Message & event-driven architecture,Technical,"Designs asynchronous, decoupled systems using queues, streams, and publish-subscribe flows.",Produces and consumes messages for simple flows under review.,Implements standard event-driven flows independently with normal review.,"Designs event-driven architectures autonomously; resolves ordering, delivery, and coupling concerns.",Defines event-driven approaches teams adopt; solves the hardest decoupling and flow problems.,Sets event-driven architecture strategy across systems; anticipates evolving messaging models.,Defines authoritative practice for event-driven architecture; shapes industry understanding.
BE-10,Engineering & Technology,Backend & Distributed Services,Messaging & Eventing,Event modeling & stream processing,Technical,Models domain events and processes continuous streams for real-time and derived state.,Implements simple stream consumers and event handlers under guidance.,Builds standard stream-processing flows independently.,Designs event models and stream pipelines autonomously; handles windowing and state.,Defines stream-processing approaches teams adopt; solves hard ordering and throughput problems.,Sets event-modeling and streaming strategy across systems; anticipates evolving processing needs.,Shapes industry practice for event modeling and stream processing; pioneers influential approaches.
BE-11,Engineering & Technology,Backend & Distributed Services,Messaging & Eventing,Idempotency & reliability patterns,Technical,"Applies idempotency, retries, deduplication, and delivery guarantees to make operations safely repeatable.",Applies provided idempotency and retry patterns for simple cases under review.,Implements standard reliability and retry handling independently.,"Designs idempotent, reliable flows autonomously; resolves duplicate and partial-failure cases.",Defines reliability patterns teams adopt; solves the hardest exactly-once and recovery problems.,Sets reliability and idempotency strategy across systems; anticipates evolving failure modes.,Defines best practice for reliability patterns industrywide; shapes widely adopted approaches.
BE-12,Engineering & Technology,Backend & Distributed Services,Messaging & Eventing,Background processing & scheduling,Technical,"Designs deferred, batched, and scheduled work to offload and coordinate long-running tasks.",Implements simple background jobs following patterns under review.,Builds standard scheduled and queued jobs independently.,"Designs background-processing systems autonomously; handles retries, concurrency, and timing.",Defines background-processing approaches teams adopt; solves hard scheduling and throughput problems.,Sets background-processing strategy across systems; anticipates evolving workload demands.,Shapes industry practice for background processing and scheduling; pioneers influential approaches.
BE-13,Engineering & Technology,Backend & Distributed Services,Service Interfaces & Protocols,API contract & versioning design,Technical,"Defines stable interface contracts, schemas, and versioning strategies for evolving consumers.",Implements endpoints against existing contracts under review.,Designs standard API contracts independently with consistent conventions.,Designs API contracts and versioning autonomously; manages compatibility and evolution.,Defines API-design approaches teams adopt; solves hard versioning and compatibility problems.,Sets API contract and versioning strategy across the organization; anticipates evolving needs.,Defines authoritative practice for API design; shapes industry standards and conventions.
BE-14,Engineering & Technology,Backend & Distributed Services,Service Interfaces & Protocols,Synchronous & asynchronous protocol design,Technical,"Chooses and designs request-response, streaming, and real-time communication protocols for service interaction.",Implements communication over established protocols for simple cases under review.,Builds standard synchronous and async interactions independently.,Designs protocol interactions autonomously; chooses sync/async trade-offs and handles failures.,Defines protocol-design approaches teams adopt; solves hard latency and coupling problems.,Sets protocol-design strategy across systems; anticipates evolving communication models.,Defines best practice for protocol design industrywide; shapes widely adopted approaches.
BE-15,Engineering & Technology,Backend & Distributed Services,Service Interfaces & Protocols,Authentication & authorization,Technical,"Designs identity, credential, token, and access-control mechanisms to protect services and data.",Applies existing auth mechanisms to simple endpoints under review.,Implements standard authentication and authorization flows independently.,"Designs auth models autonomously; resolves complex identity, token, and permission cases.",Defines auth approaches teams adopt; solves the hardest access-control and trust problems.,Sets authentication and authorization strategy across systems; anticipates evolving threats.,Defines authoritative practice for auth; shapes industry standards and security understanding.
BE-16,Engineering & Technology,Backend & Distributed Services,Service Interfaces & Protocols,Rate limiting & traffic shaping,Technical,"Protects services with throttling, quotas, backpressure, and graceful degradation under load.",Applies provided rate-limit rules to simple endpoints under guidance.,Implements standard rate limiting and throttling independently.,"Designs traffic-shaping strategies autonomously; handles bursts, fairness, and backpressure.",Defines rate-limiting approaches teams adopt; solves hard fairness and abuse problems.,Sets traffic-management strategy across systems; anticipates evolving load and abuse patterns.,Shapes industry practice for rate limiting and traffic shaping; pioneers influential approaches.
BE-17,Engineering & Technology,Backend & Distributed Services,Scalability & Resilience,Scalability & load management,Technical,Scales systems horizontally and vertically and distributes load to meet demand elastically.,Applies known scaling adjustments to simple services under guidance.,Implements standard scaling and load-handling measures independently.,Designs scalable systems autonomously; resolves bottlenecks and load-distribution challenges.,Defines scalability approaches teams adopt; solves the hardest scaling and contention problems.,Sets scalability strategy across systems; anticipates growth and evolving load profiles.,Defines authoritative practice for scalability; shapes industry understanding of scaling.
BE-18,Engineering & Technology,Backend & Distributed Services,Scalability & Resilience,Fault tolerance & failure isolation,Technical,"Designs timeouts, retries, circuit breakers, and bulkheads to contain and survive partial failures.",Applies provided resilience patterns to simple services under review.,Implements standard fault-tolerance and isolation measures independently.,Designs resilient systems autonomously; resolves cascading-failure and degradation concerns.,Defines fault-tolerance approaches teams adopt; solves the hardest isolation and recovery problems.,Sets resilience strategy across systems; anticipates emerging failure modes and risks.,Defines best practice for fault tolerance industrywide; shapes widely adopted approaches.
BE-19,Engineering & Technology,Backend & Distributed Services,Scalability & Resilience,Capacity planning & resource budgeting,Behavioral,"Forecasts demand and provisions compute, storage, and connection resources against budgets.",Gathers usage metrics and applies simple capacity estimates under guidance.,Produces standard capacity forecasts and resource budgets independently.,"Plans capacity autonomously; models demand, headroom, and resource trade-offs.",Defines capacity-planning approaches teams adopt; solves hard forecasting and efficiency problems.,Sets capacity and resource-budgeting strategy across systems; anticipates long-term demand shifts.,Shapes industry practice for capacity planning; pioneers influential approaches to resource budgeting.
ARC-01,Engineering & Technology,Architecture & System Design,Architectural Styles & Decomposition,Architectural styles & patterns,Technical,"Selects and applies layered, modular, service-oriented, and event-driven structural patterns to fit context.","Applies a chosen architectural style to a component under guidance, following existing patterns.","Implements standard styles independently for routine systems, selecting from familiar patterns.","Selects and combines styles for ambiguous systems, justifying fit against constraints autonomously.",Defines reference architectures and pattern catalogs others adopt across multiple systems.,Sets the organization's architectural style strategy and anticipates emerging structural shifts.,Originates architectural styles and patterns the wider industry recognizes and adopts.
ARC-02,Engineering & Technology,Architecture & System Design,Architectural Styles & Decomposition,Service decomposition & boundary design,Technical,Partitions systems into services and modules with clear ownership and coupling boundaries.,"Splits a service along boundaries already defined, with decomposition reviewed.",Decomposes routine systems into services using established boundary heuristics independently.,"Designs boundaries for complex domains, resolving overlap and ownership ambiguity autonomously.",Defines decomposition methods and boundary heuristics teams reuse across products.,"Sets enterprise-wide boundary and ownership strategy, anticipating decomposition pressures.",Shapes how the industry reasons about service boundaries and decomposition.
ARC-03,Engineering & Technology,Architecture & System Design,Architectural Styles & Decomposition,Domain modeling,Technical,"Models business concepts, language, and boundaries to align software structure with the domain.",Translates given domain rules into a model under review.,"Builds models for familiar domains independently, capturing standard entities and relationships.","Models ambiguous domains, surfacing hidden invariants and resolving conflicting expert input.",Defines modeling approaches and shared language others apply across domains.,"Sets domain-modeling strategy and standards organization-wide, anticipating evolution.",Advances domain-modeling practice recognized and taught across the industry.
ARC-04,Engineering & Technology,Architecture & System Design,Architectural Styles & Decomposition,"Coupling, cohesion & dependency management",Technical,Manages dependencies and direction of coupling to keep components changeable and independently deployable.,Removes obvious dependencies and follows cohesion guidance under review.,"Manages coupling in routine modules independently, applying standard dependency rules.",Diagnoses and restructures tangled dependencies in complex systems autonomously.,Defines dependency governance and cohesion principles teams adopt.,Sets organization-wide coupling strategy and anticipates structural debt accumulation.,"Defines what healthy coupling means for the discipline, influencing wider practice."
ARC-05,Engineering & Technology,Architecture & System Design,Distributed Coordination,Consistency models,Technical,"Reasons about strong, eventual, and causal consistency to choose correct guarantees per use case.","Applies a specified consistency model under guidance, with choices reviewed.",Selects standard consistency models for routine cases independently.,Chooses and reasons about consistency trade-offs in ambiguous distributed scenarios autonomously.,Defines consistency-model guidance others rely on for hard correctness problems.,Sets consistency strategy across systems and anticipates new model needs.,Advances how the industry understands and applies consistency models.
ARC-06,Engineering & Technology,Architecture & System Design,Distributed Coordination,Consensus & coordination,Technical,"Applies leader election, distributed locks, and consensus to coordinate state across nodes.",Configures coordination using established primitives under review.,Applies standard consensus and coordination mechanisms to routine problems independently.,"Designs coordination for complex failure scenarios, resolving liveness and safety trade-offs autonomously.",Defines coordination approaches others adopt and solves intractable agreement problems.,"Sets coordination strategy organization-wide, anticipating distributed-coordination challenges.",Shapes industry understanding of consensus and coordination.
ARC-07,Engineering & Technology,Architecture & System Design,Distributed Coordination,Distributed transactions & saga design,Technical,"Coordinates multi-service state changes using sagas, compensations, and eventual consistency.",Implements a defined saga or transaction flow under review.,Builds standard distributed transactions and compensations independently for routine flows.,Designs saga and consistency-recovery patterns for complex multi-step flows autonomously.,Defines distributed-transaction patterns and failure-handling approaches teams adopt.,"Sets strategy for cross-system transactional integrity, anticipating coordination needs.",Defines best practice for distributed transactions across the industry.
ARC-08,Engineering & Technology,Architecture & System Design,System Quality & Trade-offs,Capacity estimation & back-of-envelope modeling,Technical,"Estimates load, storage, and bandwidth to size systems and validate feasibility early.",Performs simple capacity calculations from given assumptions under review.,Estimates capacity for routine systems independently using standard models.,"Builds defensible capacity models for ambiguous, large-scale systems autonomously.",Defines estimation methods and reference figures others reuse.,Sets capacity-planning strategy and anticipates scaling inflection points organization-wide.,Advances how the discipline approaches capacity modeling.
ARC-09,Engineering & Technology,Architecture & System Design,System Quality & Trade-offs,Non-functional requirement design,Technical,"Designs for latency, availability, durability, and consistency targets as first-class constraints.",Documents non-functional requirements from given targets under review.,Defines standard non-functional requirements independently for routine systems.,Elicits and reconciles conflicting quality requirements in ambiguous contexts autonomously.,Defines NFR frameworks and quality taxonomies others adopt.,"Sets organization-wide quality-attribute strategy, anticipating emerging non-functional concerns.",Shapes industry practice for defining and reasoning about system qualities.
