type,key_area,key_attribute,theme,capability,E1,E2,E3,E4,E5,E6
skill,Platform Software Engineering,Code Craft & Quality,Testing & verification,SWE-03,"Depth: Writes unit tests with guidance; tests own changes before merging. Evidenced by: Writes unit tests that pin the behavior of their change, including the failure path. Scope: task.","Depth: Applies the testing pyramid; everything shipped arrives tested; mocks dependencies sensibly. Evidenced by: Balances unit, integration, and end-to-end coverage for their component. Scope: component.","Depth: Designs testable systems (contract, property-based, replay from prod); owns a test strategy. Evidenced by: Designs the verification strategy for a capability. Scope: capability / domain (terminal level).","Depth: Expert in test strategy at scale (test data, environments, deployment safety). Evidenced by: Builds test infrastructure several teams rely on. Scope: multiple teams.",Depth: Sets testing/verification discipline across the org. Evidenced by: Sets the organization's testing standards. Scope: organization.,Depth: Shapes the company-wide quality culture; advances verification practice. Evidenced by: Frames verification as company risk management. Scope: company.
skill,Platform Software Engineering,Delivery Automation,Delivery automation & CI/CD,OPS-02,Depth: Uses and makes guided fixes to existing pipelines. Evidenced by: Ships through the pipeline correctly. Scope: task.,Depth: Independently builds and improves pipelines for their area. Evidenced by: Owns their component's pipeline. Scope: component.,"Depth: Designs deployment safety (progressive delivery, rollback) for a domain. Evidenced by: Designs CI/CD as a product for a capability's users. Scope: capability / domain (terminal level).",Depth: Expert in delivery engineering at scale; sets standards across teams. Evidenced by: Builds delivery infrastructure multiple teams ship through. Scope: multiple teams.,Depth: Defines the org's delivery/release philosophy. Evidenced by: Owns the organization's delivery architecture. Scope: organization.,Depth: Advances release engineering practice company-wide. Evidenced by: Sets company delivery strategy. Scope: company.
skill,Platform Software Engineering,Delivery Automation,Deprecation & migration management,OPS-30,"Depth: Follows the release process exactly — flags, staged rollout steps, verification checklists — verifies their change in production, and rolls back with guidance. Evidenced by: Executes migration and release steps from a runbook accurately. Scope: task.","Depth: Ships behind flags with a rollback plan by default, monitors rollouts and reverts on their own judgment when signals degrade, and writes changes that tolerate both versions running during rollout. Evidenced by: Migrates their component's consumers off an old interface. Scope: component.","Depth: Designs the rollout for risky changes — canary criteria, migration sequencing, flag lifecycle, kill switches — and reviews others' rollout plans for blast radius; the person teams ask how to ship something safely. Evidenced by: Plans and runs a capability-level deprecation as a managed migration. Scope: capability / domain (terminal level).","Depth: Builds progressive-delivery machinery multiple teams release through (flag platforms, automated canary analysis, automated rollback), retiring deploy patterns that cause repeat incidents and measurably raising deploy frequency. Evidenced by: Coordinates migrations that cross team boundaries. Scope: multiple teams.","Depth: Owns release policy for an organization and its delivery metrics — rollout standards, freeze rules, environment strategy — dismantling ceremony that adds no safety. Evidenced by: Sets the organization's deprecation policy. Scope: organization.","Depth: Sets how an entire company's software reaches customers — the risk posture products ship under — and defends it to executives, auditors, and regulators. Evidenced by: Sets the company's compatibility promise. Scope: company."
skill,Infrastructure & Cloud,Cloud & Compute,Cloud architecture,OPS-01,Depth: Makes guided changes to existing infra; understands core cloud services. Evidenced by: Provisions and modifies cloud resources from documented patterns. Scope: task.,Depth: Independently builds and manages standard resources using IaC. Evidenced by: Designs the cloud footprint for a component. Scope: component.,"Depth: Designs infra for scale, cost and resilience across a domain. Evidenced by: Architects a capability's infrastructure for the failure domains that matter. Scope: capability / domain (terminal level).",Depth: Expert in infra platforms used by many teams; owns major cost strategy. Evidenced by: Designs shared infrastructure patterns. Scope: multiple teams.,Depth: Sets org infrastructure direction. Evidenced by: Sets the organization's cloud strategy. Scope: organization.,Depth: Trusted with company-level platform bets; defines infra strategy. Evidenced by: Owns company-level infrastructure bets. Scope: company.
skill,Infrastructure & Cloud,Cloud & Compute,Container orchestration & runtime,OPS-14,"Depth: Deploys workloads to an existing orchestrator under review, adjusting basic scheduling settings from examples. Evidenced by: Deploys and debugs workloads on the orchestrator with guidance. Scope: task.","Depth: Independently operates orchestrated workloads, manages routine scaling, placement, and health checks with normal review. Evidenced by: Owns their component's runtime configuration. Scope: component.","Depth: Designs scheduling, affinity, and resource policies for ambiguous workloads and resolves hard orchestration failures. Evidenced by: Designs and operates cluster-level platform machinery. Scope: capability / domain (terminal level).","Depth: Defines cluster topology and scheduling patterns others adopt, solving deep placement, contention, and lifecycle problems. Evidenced by: Sets workload standards multiple teams schedule against. Scope: multiple teams.","Depth: Sets organization-wide orchestration strategy and standards, anticipating where workload scheduling is heading. Evidenced by: Owns the organization's runtime strategy. Scope: organization.","Depth: Defines what effective orchestration means for the discipline, externally credible in shaping scheduling practice. Evidenced by: Decides company-level runtime direction. Scope: company."
skill,Infrastructure & Cloud,Cloud & Compute,Networking & compute foundations,OPS-19,"Depth: Configures basic network segments and routes from designs under review, verifying connectivity. Evidenced by: Traces a request through DNS, load balancer, and service to locate a failure. Scope: task.","Depth: Independently builds standard network topologies, manages routing and segmentation for routine needs with review. Evidenced by: Configures the networking and compute for their component. Scope: component.",Depth: Designs routing and addressing schemes for ambiguous topologies and diagnoses hard reachability and routing failures. Evidenced by: Designs network and compute topology for a capability. Scope: capability / domain (terminal level).,"Depth: Defines network architecture and routing patterns others adopt, solving deep segmentation, scale, and convergence problems. Evidenced by: Owns shared foundations several teams depend on. Scope: multiple teams.","Depth: Sets organization-wide network strategy and standards, anticipating shifts in network design and routing. Evidenced by: Sets organization standards for network architecture and compute platforms. Scope: organization.","Depth: Defines what good network design means for the field, externally credible in shaping routing practice. Evidenced by: Owns company-scale foundation decisions. Scope: company."
skill,Infrastructure & Cloud,Automation & Self-Service,Infrastructure as code,OPS-10,"Depth: Writes simple declarative resource definitions from templates, applying them under review in non-production environments. Evidenced by: Makes changes through the IaC workflow rather than the console. Scope: task.","Depth: Independently provisions standard infrastructure stacks, manages state and variables, and handles routine drift with normal review. Evidenced by: Writes reusable, parameterized modules for their component. Scope: component.","Depth: Designs reusable modules for ambiguous needs, structures state safely, and is the go-to for tricky provisioning failures. Evidenced by: Designs the IaC architecture for a capability. Scope: capability / domain (terminal level).","Depth: Defines the provisioning patterns and module conventions others adopt, solving thorny dependency and idempotency problems. Evidenced by: Publishes module libraries and IaC conventions multiple teams build on. Scope: multiple teams.","Depth: Sets the organization-wide IaC strategy, governance, and standards, anticipating shifts in declarative provisioning practice. Evidenced by: Sets the organization's IaC standards. Scope: organization.","Depth: Defines what good infrastructure-as-code means for the field, shaping provisioning practices recognized across the industry. Evidenced by: Treats the company's infrastructure definition as a strategic asset. Scope: company."
skill,Infrastructure & Cloud,Automation & Self-Service,Self-service provisioning,OPS-27,"Depth: Maintains existing self-service platform components under review, addressing documented user requests. Evidenced by: Uses the self-service tooling as users do and documents the gaps that forced manual steps. Scope: task.",Depth: Independently builds and supports standard platform capabilities and templates for routine developer needs with review. Evidenced by: Automates a manual provisioning flow for their component into a self-service action. Scope: component.,"Depth: Designs self-service workflows for ambiguous needs, reducing friction and resolving hard abstraction and adoption issues. Evidenced by: Designs self-service for a capability end to end. Scope: capability / domain (terminal level).","Depth: Defines platform architecture and golden paths others adopt, solving deep developer-experience and leverage problems. Evidenced by: Unifies self-service across teams behind one coherent interface. Scope: multiple teams.","Depth: Sets organization-wide platform strategy, anticipating how developer-experience engineering should evolve. Evidenced by: Drives the organization to a self-service operating model. Scope: organization.","Depth: Defines what excellent platform engineering means for the field, shaping industry developer-experience practice. Evidenced by: Makes self-service the company's default operating model for infrastructure. Scope: company."
skill,Reliability & Operations,Observability & Service Levels,Observability & instrumentation,OPS-05,"Depth: Understands logs/metrics/traces; reads existing dashboards. Evidenced by: Traces a failing deploy to a specific pod's OOM-kill using the team's existing dashboard, without needing a teammate to point them to it. Scope: task.",Depth: Instruments their services; builds dashboards; tunes alerts to limit noise. Evidenced by: Instruments their component so strangers can debug it. Scope: component.,"Depth: Designs observability for complex systems (end-to-end traces, quality signals, cost attribution). Evidenced by: Designs the observability offering for a capability. Scope: capability / domain (terminal level).","Depth: Expert in instrumentation trade-offs at scale, incl. privacy-safe logging. Evidenced by: Builds observability infrastructure multiple teams instrument against. Scope: multiple teams.",Depth: Defines org observability strategy. Evidenced by: Sets the organization's observability strategy and standards. Scope: organization.,Depth: Shapes company-wide operational visibility; advances practice. Evidenced by: Frames observability as company capability. Scope: company.
skill,Reliability & Operations,Observability & Service Levels,SLOs & error budgets,OPS-04,Depth: Understands SLOs and common failure modes; keeps components healthy with guidance. Evidenced by: Explains their service's SLOs and reads burn-rate dashboards correctly. Scope: task.,"Depth: Builds retries, timeouts and fallbacks; understands blast radius. Evidenced by: Adds a retry-with-backoff and a fallback path to a flaky downstream call so that dependency's failure doesn't cascade into their own component. Scope: component.",Depth: Designs for graceful degradation; defines SLOs; accountable for a domain's reliability. Evidenced by: Negotiates SLOs for a capability with its internal customers. Scope: capability / domain (terminal level).,Depth: Expert in resilience and capacity planning at scale; drives down incidents systemically. Evidenced by: Aligns SLOs across dependent services so promises compose. Scope: multiple teams.,Depth: Owns org-level reliability; fixes risk in process and org design. Evidenced by: Owns the organization's SLO framework and review cadence. Scope: organization.,Depth: Sets the company's reliability philosophy. Evidenced by: Sets company reliability targets against business risk and cost. Scope: company.
skill,Reliability & Operations,Incident Management,Incident response,OPS-06,Depth: Responds to alerts with support; follows runbooks; escalates appropriately. Evidenced by: Executes runbook steps accurately during incidents under supervision. Scope: task.,Depth: Triages and resolves routine incidents; clear notes; takes on-call. Evidenced by: Serves as primary on-call for their component. Scope: component.,Depth: Leads response to complex failures; blameless postmortems; same failure never recurs. Evidenced by: Commands complex multi-team incidents. Scope: capability / domain (terminal level).,"Depth: Expert in incident-management design (rotations, severity, escalation). Evidenced by: Designs the incident-management system itself. Scope: multiple teams.",Depth: Commands the highest-severity incidents; sets incident process org-wide. Evidenced by: Owns the organization's major-incident readiness. Scope: organization.,Depth: Sets the company's incident philosophy; calm authority in the worst moments. Evidenced by: Leads the company's existential incidents and the reforms after them. Scope: company.
skill,Reliability & Operations,Incident Management,Learning from incidents,OPS-06,Depth: Responds to alerts with support; follows runbooks; escalates appropriately. Evidenced by: Contributes accurate timelines and observations to incident reviews. Scope: task.,Depth: Triages and resolves routine incidents; clear notes; takes on-call. Evidenced by: Writes blameless postmortems for their component's incidents. Scope: component.,Depth: Leads response to complex failures; blameless postmortems; same failure never recurs. Evidenced by: Facilitates incident reviews others attend voluntarily. Scope: capability / domain (terminal level).,"Depth: Expert in incident-management design (rotations, severity, escalation). Evidenced by: Builds the learning system across teams. Scope: multiple teams.",Depth: Commands the highest-severity incidents; sets incident process org-wide. Evidenced by: Drives org-level resilience investment from incident evidence. Scope: organization.,Depth: Sets the company's incident philosophy; calm authority in the worst moments. Evidenced by: Shapes the company's safety culture. Scope: company.
skill,Reliability & Operations,Operational Excellence,"Capacity, performance & cost",OPS-07,Depth: Understands cost/latency drivers of what they build. Evidenced by: Reads utilization and saturation dashboards correctly and flags approaching limits with evidence. Scope: task.,Depth: Applies standard optimizations; stays within cost/latency budgets. Evidenced by: Load-tests their component and sizes it from measured headroom rather than guesswork. Scope: component.,Depth: Designs cost-aware architectures; defines and tracks unit economics for a domain. Evidenced by: Owns capacity planning for a capability. Scope: capability / domain (terminal level).,"Depth: Expert in economics at scale (fleet optimization, build-vs-buy). Evidenced by: Runs capacity planning across shared pools that multiple teams draw from. Scope: multiple teams.",Depth: Owns org-level spend strategy; cost decisions change margins. Evidenced by: Owns the organization's capacity and efficiency program. Scope: organization.,Depth: Shapes the company economics of the products. Evidenced by: Treats infrastructure economics as company strategy. Scope: company.
skill,Reliability & Operations,Operational Excellence,Toil reduction & automation,OPS-28,"Depth: Runs and lightly edits existing automation under review, flagging tasks that remain manual. Evidenced by: Executes operational runbooks accurately and improves the runbook when a step is wrong or missing. Scope: task.",Depth: Independently automates routine operational tasks and integrates them into standard workflows with normal review. Evidenced by: Automates the recurring manual work in their component. Scope: component.,"Depth: Designs automation for ambiguous, error-prone toil and resolves hard reliability and orchestration issues in pipelines. Evidenced by: Measures toil for a capability and holds it under an explicit budget. Scope: capability / domain (terminal level).","Depth: Defines automation patterns and toil-elimination practices others adopt, solving deep workflow and safety problems. Evidenced by: Builds automation multiple teams reuse for their operational work. Scope: multiple teams.","Depth: Sets organization-wide automation strategy, anticipating where automation-first operations should head. Evidenced by: Sets the organization's toil policy. Scope: organization.","Depth: Defines what automation-first operations means for the discipline, externally credible in shaping the practice. Evidenced by: Makes operational leverage a company-level argument. Scope: company."
skill,Security & Compliance,Secure by Default,Guardrails & policy as code,SEC-18,"Depth: Works within existing guardrails, reads a policy violation to its cause instead of requesting an exception, and explains what each guardrail protects against. Evidenced by: Traces a blocked deploy to a missing resource-limit field in the manifest instead of filing an exception request, and fixes it. Scope: task.","Depth: Writes and tests policy rules for a component - admission checks, pipeline gates - with low false-positive rates and violation messages that tell the user how to comply. Evidenced by: Writes an admission-control rule for their component that catches unencrypted volumes with a message that tells the requester exactly which field to change. Scope: component.","Depth: Designs the guardrail architecture for a capability - what is blocked, warned, or audited, with documented threat reasoning - tuned so the safe path is the fast path, and runs an audited exception workflow without becoming the bottleneck. Evidenced by: Designs a capability's guardrail set -- what blocks, what warns, what only audits -- with the threat each rule defends against written down, and runs the exception process without becoming its bottleneck. Scope: capability / domain (terminal level).","Depth: Harmonizes policy across teams into a coherent, versioned policy library with a governed exception process, and adjudicates escalated safety-versus-velocity disputes. Evidenced by: Merges three teams' near-duplicate policy libraries into one versioned set and adjudicates which team's stricter rule wins. Scope: multiple teams.","Depth: Owns an organization's preventive-control strategy with security partners - the control catalog, its coverage, and the evidence it works - moving enforcement from review-time to platform-time. Evidenced by: Owns the guardrail catalog with the security team, moving a manual pre-launch review into an automated pipeline gate. Scope: organization.","Depth: Sets an organization-defining balance of enablement and control, accountable for guardrails that hold under audit and attack without throttling delivery. Evidenced by: Sets the company's default posture on where automation blocks versus warns, and defends it to auditors after an incident nearly reopens the debate. Scope: company."
skill,Security & Compliance,Secure by Default,"Identity, secrets & access",SEC-01,"Depth: Provisions and deprovisions accounts from documented procedures, with approvals and access reviewed before activation. Evidenced by: Requests and uses credentials through the sanctioned workflow. Scope: task.","Depth: Configures roles, group membership, and authentication factors independently for standard joiners, movers, and leavers. Evidenced by: Configures workload identity, scoped roles, and secret rotation for their component. Scope: component.","Depth: Resolves complex entitlement conflicts and designs least-privilege role models for ambiguous, cross-system access needs. Evidenced by: Designs the identity model for a capability. Scope: capability / domain (terminal level).",Depth: Defines the identity lifecycle and authorization architecture that other engineers adopt across the organization. Evidenced by: Builds identity infrastructure multiple teams authenticate through. Scope: multiple teams.,"Depth: Sets identity strategy, governs federation and privileged-access standards, and anticipates emerging access risks. Evidenced by: Owns the organization's identity architecture and its zero-trust roadmap. Scope: organization.","Depth: Defines what sound identity practice means for the field and shapes how others govern access. Evidenced by: Sets company identity strategy across employee, workload, and customer boundaries. Scope: company."
skill,Security & Compliance,Supply Chain & Assurance,Software supply chain security,SEC-09,"Depth: Verifies artifact provenance and signatures following documented checks, escalating anomalies for review. Evidenced by: Keeps dependencies current on their tasks and acts on vulnerability-scanner findings with guidance. Scope: task.","Depth: Configures signing, dependency scanning, and provenance controls independently for standard pipelines. Evidenced by: Maintains their component's supply-chain hygiene. Scope: component.","Depth: Designs artifact-integrity and dependency-trust controls for complex, ambiguous supply chains. Evidenced by: Designs a capability's pipeline to a stated supply-chain integrity level. Scope: capability / domain (terminal level).",Depth: Defines the supply-chain security architecture and verification patterns others adopt. Evidenced by: Builds supply-chain controls into the shared pipeline so every team inherits provenance and scanning by default. Scope: multiple teams.,Depth: Sets supply-chain assurance strategy and anticipates emerging artifact and dependency threats. Evidenced by: Owns the organization's supply-chain security program. Scope: organization.,Depth: Defines authoritative supply-chain security practice that shapes industry expectations. Evidenced by: Sets company supply-chain policy including third-party and vendor software. Scope: company.
skill,Security & Compliance,Supply Chain & Assurance,Compliance & audit readiness,OPS-09,Depth: Knows data handling has privacy implications; follows rules. Evidenced by: Follows the platform's compliance procedures accurately. Scope: task.,"Depth: Applies PII handling, redaction, residency and retention correctly. Evidenced by: Automates evidence collection for their component's controls. Scope: component.","Depth: Designs for compliance (consent, audit trails, regional rules); owns readiness for a domain. Evidenced by: Maps a capability's controls to the frameworks the company answers to and designs them to be inherited. Scope: capability / domain (terminal level).","Depth: Expert at translating regulation into controls; represents engineering in audits. Evidenced by: Rationalizes overlapping control implementations across teams into shared, platform-enforced controls. Scope: multiple teams.",Depth: Sets org compliance strategy; anticipates regulation. Evidenced by: Owns the organization's compliance-as-code strategy with legal and security partners. Scope: organization.,Depth: Authoritative on the landscape; trusted interface to regulators. Evidenced by: Shapes company posture on regulatory strategy where infrastructure is implicated. Scope: company.
skill,Communication & Collaboration,Knowledge & Documentation,Technical documentation,DR-05,Depth: Writes and updates doc pages within an existing structure under guidance. Evidenced by: Fixes documentation errors they hit instead of working around them. Scope: task.,Depth: Authors and organizes documentation for a product area with normal review. Evidenced by: Keeps their component's docs shippable. Scope: component.,"Depth: Independently architects coherent doc structures for complex, evolving products. Evidenced by: Designs a capability's documentation as part of the product. Scope: capability / domain (terminal level).",Depth: Defines information-architecture standards others adopt and restructures tangled doc sets. Evidenced by: Sets documentation conventions multiple teams follow. Scope: multiple teams.,Depth: Sets the org's documentation strategy and anticipates structural scaling needs. Evidenced by: Owns the organization's developer-facing knowledge strategy. Scope: organization.,Depth: Defines great developer documentation and information architecture for the field. Evidenced by: Writes the canonical company documents. Scope: company.
